A;004;20020617 11:49;PDANN;
B;004;108536;18;20020617 11:49;;;112;MAIN RD;SPEERS POINT;2284;1181;M;20020328;20020517;160000;A;R;RESIDENCE;;DC;;;8646588;
C;004;108536;18;20020617 11:49;17/B/6514;
D;004;108536;18;20020617 11:49;P;;;;;;
D;004;108536;18;20020617 11:49;V;;;;;;
B;004;109896;19;20020617 11:49;;;1;ATLANTA AVE;WOODRISING;2284;834.6;M;20020327;20020515;189000;A;R;RESIDENCE;;FB;;;8641294;
C;004;109896;19;20020617 11:49;3034//802535;
D;004;109896;19;20020617 11:49;P;;;;;;
D;004;109896;19;20020617 11:49;P;;;;;;
D;004;109896;19;20020617 11:49;V;;;;;;
D;004;109896;19;20020617 11:49;V;;;;;;
B;004;110105;20;20020617 11:49;;;66;HAYDEN BROOK RD;BOORAGUL;2284;594;M;20020419;20020523;159950;A;R;RESIDENCE;;FB;;;8651754;
C;004;110105;20;20020617 11:49;448//774186;
D;004;110105;20;20020617 11:49;P;;;;;;
D;004;110105;20;20020617 11:49;P;;;;;;
D;004;110105;20;20020617 11:49;V;;;;;;
D;004;110105;20;20020617 11:49;V;;;;;;
B;004;110258;21;20020617 11:49;;;20;MERRIWA ST;BOORAGUL;2284;580.8;M;20020422;20020524;137500;A;R;RESIDENCE;;FB;;;8661161;
C;004;110258;21;20020617 11:49;377//774186;
D;004;110258;21;20020617 11:49;P;;;;;;
D;004;110258;21;20020617 11:49;P;;;;;;
D;004;110258;21;20020617 11:49;V;;;;;;
D;004;110258;21;20020617 11:49;V;;;;;;
B;004;111029;22;20020617 11:49;;;25;NEWARK ST;BUTTABA;2283;645;M;20020415;20020527;133000;A;R;RESIDENCE;;MF;;;8641764;
C;004;111029;22;20020617 11:49;223//11287;
D;004;111029;22;20020617 11:49;P;;;;;;
D;004;111029;22;20020617 11:49;P;;;;;;
D;004;111029;22;20020617 11:49;V;;;;;;
B;004;111146;23;20020617 11:49;;;28;TODMORDEN RD;BUTTABA;2283;834.7;M;20020517;20020522;305000;A;R;RESIDENCE;;MF;;;8655580;
C;004;111146;23;20020617 11:49;560//12507;
D;004;111146;23;20020617 11:49;P;;;;;;
D;004;111146;23;20020617 11:49;P;;;;;;
D;004;111146;23;20020617 11:49;V;;;;;;
D;004;111146;23;20020617 11:49;V;;;;;;
B;004;111237;24;20020617 11:49;;;411;CURRAWONG CCT;CAMS WHARF;2281;84;M;20020328;20020509;260000;B;R;RESIDENCE;;TM;;;8660540;
C;004;111237;24;20020617 11:49;4//285546;
D;004;111237;24;20020617 11:49;P;;;;;;
D;004;111237;24;20020617 11:49;P;;;;;;
