A;001;20020301 13:26;CDIXON;
B;001;12;1;20020301 13:26;;;172;ABERDARE RD;ABERDARE;2325;1062;M;20011111;20011221;180000;A;R;RESIDENCE;;GA;AC;;8326303;
C;001;12;1;20020301 13:26;291//755215;
D;001;12;1;20020301 13:26;P;;;;;;
D;001;12;1;20020301 13:26;P;;;;;;
D;001;12;1;20020301 13:26;V;;;;;;
B;001;75;2;20020301 13:26;;;52;ABERDARE RD;ABERDARE;2325;1012;M;20020107;20020208;86000;A;R;RESIDENCE;;GA;;;8361827;
C;001;75;2;20020301 13:26;18/40/758002;
D;001;75;2;20020301 13:26;P;;;;;;
D;001;75;2;20020301 13:26;P;;;;;;
D;001;75;2;20020301 13:26;V;;;;;;
D;001;75;2;20020301 13:26;V;;;;;;
D;001;75;2;20020301 13:26;V;;;;;;
B;001;869;3;20020301 13:26;;;19;HALL ST;CESSNOCK;2325;;;20011103;20020208;185000;A;R;RESIDENCE;;GB;;;8362945;
C;001;869;3;20020301 13:26;21/B/4269;
D;001;869;3;20020301 13:26;P;;;;;;
D;001;869;3;20020301 13:26;P;;;;;;
D;001;869;3;20020301 13:26;V;;;;;;
B;001;943;4;20020301 13:26;;;21;HIGH ST;CESSNOCK;2325;;;20011105;20011217;207000;A;R;RESIDENCE;;GB;AC;;8324566;
C;001;943;4;20020301 13:26;34/C/4528;
D;001;943;4;20020301 13:26;P;;;;;;
D;001;943;4;20020301 13:26;P;;;;;;
D;001;943;4;20020301 13:26;V;;;;;;
D;001;943;4;20020301 13:26;V;;;;;;
B;001;1126;5;20020301 13:26;;;8;MCFARLANE ST;CESSNOCK;2325;461.6;M;20011206;20011221;81500;A;R;RESIDENCE;;GB;;;8371442;
C;001;1126;5;20020301 13:26;2//509425;
D;001;1126;5;20020301 13:26;P;;;;;;
D;001;1126;5;20020301 13:26;V;;;;;;
B;001;1245;6;20020301 13:26;;;119;MELBOURNE ST;ABERDARE;2325;;;20011207;20011221;83000;A;R;RESIDENCE;;GA;;;8355380;
C;001;1245;6;20020301 13:26;8/19/758002;
D;001;1245;6;20020301 13:26;P;;;;;;
D;001;1245;6;20020301 13:26;P;;;;;;
D;001;1245;6;20020301 13:26;V;;;;;;
B;001;1466;7;20020301 13:26;;;;OAKEY CREEK RD;CESSNOCK;2325;3344;M;20010921;20020131;150000;A;V;VACANT LAND;;GT;AV;;8325215;
C;001;1466;7;20020301 13:26;20//270158;
D;001;1466;7;20020301 13:26;P;;;;;;
D;001;1466;7;20020301 13:26;V;;;;;;
B;001;1646;8;20020301 13:26;;;61;RAWSON ST;ABERDARE;2325;;;20011128;20011219;100000;A;R;RESIDENCE;;GA;AC;;8261976;
C;001;1646;8;20020301 13:26;1//300265;
D;001;1646;8;20020301 13:26;P;;;;;;
D;001;1646;8;20020301 13:26;V;;;;;;
B;001;1657;9;20020301 13:26;;;83;RAWSON ST;ABERDARE;2325;;;20011017;20011121;103000;A;R;RESIDENCE;;GA;AC;;8260956;
C;001;1657;9;20020301 13:26;3/37/758002;
D;001;1657;9;20020301 13:26;P;;;;;;
D;001;1657;9;20020301 13:26;V;;;;;;
B;001;1698;10;20020301 13:26;;;2;REGENT CT;CESSNOCK;2325;774.7;M;20011218;20020131;52000;A;V;VACANT LAND;;GB;AV;;8329281;
C;001;1698;10;20020301 13:26;12//861116;
D;001;1698;10;20020301 13:26;P;;;;;;
D;001;1698;10;20020301 13:26;P;;;;;;
D;001;1698;10;20020301 13:26;V;;;;;;
D;001;1698;10;20020301 13:26;V;;;;;;
B;001;1871;11;20020301 13:26;;;50;VINCENT ST;CESSNOCK;2325;926.2;M;20010917;20011013;395000;B;R;RESIDENCE;;CA;AC;;8167931;
C;001;1871;11;20020301 13:26;2//200195 A//435490;
D;001;1871;11;20020301 13:26;P;;;;;;
D;001;1871;11;20020301 13:26;P;;;;;;
D;001;1871;11;20020301 13:26;V;;;;;;
D;001;1871;11;20020301 13:26;V;;;;;;
D;001;1871;11;20020301 13:26;V;;;;;;
B;001;2145;12;20020301 13:26;;;10;CHARLES ST;ABERMAIN;2326;777.7;M;20020104;20020201;76500;A;R;RESIDENCE;;HA;;;8377607;
C;001;2145;12;20020301 13:26;B//163749;
D;001;2145;12;20020301 13:26;P;;;;;;
D;001;2145;12;20020301 13:26;V;;;;;;
B;001;2222;13;20020301 13:26;;;;COAL ST;ABERMAIN;2326;;;20011215;20020208;5220;A;V;VACANT LAND;;HA;;;8358422;
C;001;2222;13;20020301 13:26;5, 6, 7, 8/5/4577;
D;001;2222;13;20020301 13:26;P;;;;;;
D;001;2222;13;20020301 13:26;P;;;;;;
D;001;2222;13;20020301 13:26;V;;;;;;
B;001;2447;14;20020301 13:26;;;155;HARLE ST;ABERMAIN;2326;1530;M;20011203;20020118;113000;A;R;RESIDENCE;;HA;AC;;8306668;
C;001;2447;14;20020301 13:26;1//712541;
D;001;2447;14;20020301 13:26;P;;;;;;
D;001;2447;14;20020301 13:26;P;;;;;;
D;001;2447;14;20020301 13:26;V;;;;;;
B;001;2774;15;20020301 13:26;;;7;WILLIAM ST;ABERMAIN;2326;805.8;M;20011210;20020114;62000;A;R;RESIDENCE;;HA;AC;;8320312;
C;001;2774;15;20020301 13:26;20//881277;
D;001;2774;15;20020301 13:26;P;;;;;;
D;001;2774;15;20020301 13:26;P;;;;;;
D;001;2774;15;20020301 13:26;V;;;;;;
B;001;3208;16;20020301 13:26;;;1;CHARLTON ST;BELLBIRD;2325;563.2;M;20011206;20020117;155000;A;R;RESIDENCE;;GN;;;8368253;
C;001;3208;16;20020301 13:26;12//621991;
D;001;3208;16;20020301 13:26;P;;;;;;
D;001;3208;16;20020301 13:26;P;;;;;;
D;001;3208;16;20020301 13:26;V;;;;;;
B;001;3290;17;20020301 13:26;;;15;EDDEN ST;BELLBIRD;2325;;;20011217;20020121;58500;A;R;RESIDENCE;;GN;;;8385697;
C;001;3290;17;20020301 13:26;3/3/6821;
D;001;3290;17;20020301 13:26;P;;;;;;
D;001;3290;17;20020301 13:26;V;;;;;;
B;001;3408;18;20020301 13:26;;;37;KALINGO ST;BELLBIRD;2325;1416;M;20011212;20011220;36000;A;V;VACANT LAND;;GN;AV;;8332717;
C;001;3408;18;20020301 13:26;15/G/6264;
D;001;3408;18;20020301 13:26;P;;;;;;
D;001;3408;18;20020301 13:26;P;;;;;;
D;001;3408;18;20020301 13:26;V;;;;;;
D;001;3408;18;20020301 13:26;V;;;;;;
B;001;3562;19;20020301 13:26;;;92;KENDALL ST;BELLBIRD;2325;5.8;H;20011219;20020130;260000;A;R;RESIDENCE;;EL;;;8341846;
C;001;3562;19;20020301 13:26;90//839032;
D;001;3562;19;20020301 13:26;P;;;;;;
D;001;3562;19;20020301 13:26;V;;;;;;
B;001;3666;20;20020301 13:26;;;146;MATHIESON ST;BELLBIRD HEIGHTS;2325;607;M;20011205;20020122;29000;A;V;VACANT LAND;;GN;AV;;8308255;
C;001;3666;20;20020301 13:26;52//14509;
D;001;3666;20;20020301 13:26;P;;;;;;
D;001;3666;20;20020301 13:26;V;;;;;;
B;001;3713;21;20020301 13:26;;;131;MATHIESON ST;BELLBIRD HEIGHTS;2325;;;20011221;20020201;142000;A;R;RESIDENCE;;GN;;;8353026;
C;001;3713;21;20020301 13:26;105//12366;
D;001;3713;21;20020301 13:26;P;;;;;;
D;001;3713;21;20020301 13:26;V;;;;;;
D;001;3713;21;20020301 13:26;V;;;;;;
B;001;3724;22;20020301 13:26;;;157;MATHIESON ST;BELLBIRD HEIGHTS;2325;;;20011213;20020124;15000;A;V;VACANT LAND;;GN;;;8337677;
C;001;3724;22;20020301 13:26;57//14509;
D;001;3724;22;20020301 13:26;P;;;;;;
D;001;3724;22;20020301 13:26;V;;;;;;
B;001;3778;23;20020301 13:26;;;273;MATHIESON ST;BELLBIRD;2325;860;M;20011212;20020129;176000;A;R;RESIDENCE;;GN;AC;;8329768;
C;001;3778;23;20020301 13:26;65//7802;
D;001;3778;23;20020301 13:26;P;;;;;;
D;001;3778;23;20020301 13:26;P;;;;;;
D;001;3778;23;20020301 13:26;V;;;;;;
