A;004;20030102 11:26;PDANN;
B;004;96118;1;20030102 11:26;;;15;DONNELLY RD;ARCADIA VALE;2283;670.3;M;20020913;20021025;92000;A;V;VACANT LAND;;ME;AC;;9088158;
C;004;96118;1;20030102 11:26;254//13129;
D;004;96118;1;20030102 11:26;P;;;;;;
D;004;96118;1;20030102 11:26;P;;;;;;
D;004;96118;1;20030102 11:26;V;;;;;;
B;004;96574;2;20030102 11:26;;;15;MCLAUGHLIN ST;ARGENTON;2284;;;20021108;20021206;189950;A;R;RESIDENCE;;CB;;;9220904;
C;004;96574;2;20030102 11:26;110//14329;
D;004;96574;2;20030102 11:26;P;;;;;;
D;004;96574;2;20030102 11:26;V;;;;;;
B;004;96733;3;20030102 11:26;;;1;MONTGOMERY ST;ARGENTON;2284;733.5;M;20021113;20021129;109000;A;R;RESIDENCE;;CB;;;9187816;
C;004;96733;3;20030102 11:26;37//17758;
D;004;96733;3;20030102 11:26;P;;;;;;
D;004;96733;3;20030102 11:26;P;;;;;;
D;004;96733;3;20030102 11:26;V;;;;;;
B;004;97064;4;20030102 11:26;;;83;AVONDALE RD;COORANBONG;2265;562.8;M;20020819;20020910;142500;A;R;RESIDENCE;;NJ;;;9198435;
C;004;97064;4;20030102 11:26;2//22774;
D;004;97064;4;20030102 11:26;P;;;;;;
D;004;97064;4;20030102 11:26;P;;;;;;
D;004;97064;4;20030102 11:26;V;;;;;;
D;004;97064;4;20030102 11:26;V;;;;;;
B;004;97979;5;20030102 11:26;;;103;LETCHWORTH PDE;BALMORAL;2283;1107;M;20020812;20020916;223000;A;R;RESIDENCE;;MG;;;9210800;
C;004;97979;5;20030102 11:26;202//11539;
D;004;97979;5;20030102 11:26;P;;;;;;
D;004;97979;5;20030102 11:26;P;;;;;;
D;004;97979;5;20030102 11:26;V;;;;;;
D;004;97979;5;20030102 11:26;V;;;;;;
B;004;98028;6;20030102 11:26;;;89;SEALAND RD;FISHING POINT;2283;739.8;M;20021021;20021118;255000;A;V;VACANT LAND;;MG;;;9191302;
C;004;98028;6;20030102 11:26;29//11539;
D;004;98028;6;20030102 11:26;P;;;;;;
D;004;98028;6;20030102 11:26;V;;;;;;
D;004;98028;6;20030102 11:26;V;;;;;;
B;004;98558;7;20030102 11:26;;;10;BLUEBELL ST;BELMONT;2280;2.858;H;19960506;19960812;2700;I;R;RESIDENCE;;SP;AC;;9024591;
C;004;98558;7;20030102 11:26;1//449422 127//861468;
D;004;98558;7;20030102 11:26;P;;;;;;
D;004;98558;7;20030102 11:26;V;;;;;;
D;004;98558;7;20030102 11:26;V;;;;;;
B;004;100295;8;20030102 11:26;;;30;GREENWOOD AVE;BELMONT;2280;809.9;M;20020911;20021023;245000;A;R;RESIDENCE;;JB;AC;;9077422;
C;004;100295;8;20030102 11:26;110//264107;
D;004;100295;8;20030102 11:26;P;;;;;;
D;004;100295;8;20030102 11:26;V;;;;;;
B;004;100696;9;20030102 11:26;;;19;HERBERT ST;BELMONT;2280;404.7;M;20020906;20021011;140000;B;R;RESIDENCE;;TA;AC;;9042686;
C;004;100696;9;20030102 11:26;47/I/2374;
D;004;100696;9;20030102 11:26;P;;;;;;
D;004;100696;9;20030102 11:26;V;;;;;;
B;004;100703;10;20030102 11:26;;;5;HERBERT ST;BELMONT;2280;404.7;M;20020715;20020822;206500;B;R;RESIDENCE;;TA;AC;;8967530;
C;004;100703;10;20030102 11:26;54/I/2374;
D;004;100703;10;20030102 11:26;P;;;;;;
D;004;100703;10;20030102 11:26;V;;;;;;
D;004;100703;10;20030102 11:26;V;;;;;;
B;004;100707;11;20030102 11:26;;;11;HERON PL;BELMONT;2280;735.8;M;20021031;20021206;190000;A;V;VACANT LAND;;JB;;;9207869;
C;004;100707;11;20030102 11:26;823//1010553;
D;004;100707;11;20030102 11:26;P;;;;;;
D;004;100707;11;20030102 11:26;P;;;;;;
D;004;100707;11;20030102 11:26;V;;;;;;
D;004;100707;11;20030102 11:26;V;;;;;;
B;004;101195;12;20030102 11:26;;;55;LAXTON CRES;BELMONT NORTH;2280;;;20020930;20021028;170000;A;R;RESIDENCE;;JE;AC;;9109980;
C;004;101195;12;20030102 11:26;27//28257;
D;004;101195;12;20030102 11:26;P;;;;;;
D;004;101195;12;20030102 11:26;V;;;;;;
D;004;101195;12;20030102 11:26;V;;;;;;
B;004;101840;13;20030102 11:26;;;8;MAXWELL AVE;BELMONT NORTH;2280;;;20021003;20021127;73500;A;R;RESIDENCE;;JE;;;9193775;
C;004;101840;13;20030102 11:26;5//27288;
D;004;101840;13;20030102 11:26;P;;;;;;
D;004;101840;13;20030102 11:26;P;;;;;;
D;004;101840;13;20030102 11:26;V;;;;;;
D;004;101840;13;20030102 11:26;V;;;;;;
B;004;102111;14;20030102 11:26;;;6;NIKKIN ST;BELMONT NORTH;2280;;;20021017;20021128;219000;A;R;RESIDENCE;;JE;;;9194951;
C;004;102111;14;20030102 11:26;4/J/16392;
D;004;102111;14;20030102 11:26;P;;;;;;
D;004;102111;14;20030102 11:26;P;;;;;;
D;004;102111;14;20030102 11:26;V;;;;;;
D;004;102111;14;20030102 11:26;V;;;;;;
B;004;102390;15;20030102 11:26;;;701;PACIFIC HWY;BELMONT;2280;474.2;M;20011112;20011217;110000;A;R;RESIDENCE;;ZJ;AC;;8999368;
C;004;102390;15;20030102 11:26;2//19138;
D;004;102390;15;20030102 11:26;P;;;;;;
D;004;102390;15;20030102 11:26;P;;;;;;
D;004;102390;15;20030102 11:26;V;;;;;;
B;004;103283;16;20030102 11:26;;;15;SAMPSON AVE;BELMONT NORTH;2280;588.1;M;20020725;20020906;220000;A;R;RESIDENCE;;JE;AC;;8992842;
C;004;103283;16;20030102 11:26;43//24507;
D;004;103283;16;20030102 11:26;P;;;;;;
D;004;103283;16;20030102 11:26;V;;;;;;
D;004;103283;16;20030102 11:26;V;;;;;;
B;004;103457;17;20030102 11:26;;;34;SPINNAKER RIDGE WAY;BELMONT;2280;611.3;M;20020507;20020526;292000;A;R;RESIDENCE;;JB;;;9200642;
C;004;103457;17;20030102 11:26;315//787415;
D;004;103457;17;20030102 11:26;P;;;;;;
D;004;103457;17;20030102 11:26;V;;;;;;
B;004;104249;18;20030102 11:26;;;158;WOMMARA AVE;BELMONT NORTH;2280;;;20021001;20021106;194000;A;R;RESIDENCE;;JE;;;9202906;
C;004;104249;18;20030102 11:26;8/E/13738;
D;004;104249;18;20030102 11:26;P;;;;;;
D;004;104249;18;20030102 11:26;V;;;;;;
D;004;104249;18;20030102 11:26;V;;;;;;
B;004;104837;19;20030102 11:26;;;4;HUXLEY CL;BLACKALLS PARK;2283;;;20020906;20021011;210000;A;R;RESIDENCE;;FJ;AC;;9056379;
C;004;104837;19;20030102 11:26;149//247904;
D;004;104837;19;20030102 11:26;P;;;;;;
D;004;104837;19;20030102 11:26;V;;;;;;
B;004;105345;20;20030102 11:26;;;26;TODD ST;BLACKALLS PARK;2283;;;20021015;20021203;120000;A;R;RESIDENCE;;FJ;;;9192439;
C;004;105345;20;20030102 11:26;195//7661;
D;004;105345;20;20030102 11:26;P;;;;;;
D;004;105345;20;20030102 11:26;P;;;;;;
D;004;105345;20;20030102 11:26;V;;;;;;
D;004;105345;20;20030102 11:26;V;;;;;;
B;004;105376;21;20030102 11:26;;;5;VENETIA AVE;BLACKALLS PARK;2283;651.3;M;20021026;20021202;200000;A;R;RESIDENCE;;FJ;;;9205548;
C;004;105376;21;20030102 11:26;2//12847;
D;004;105376;21;20030102 11:26;P;;;;;;
D;004;105376;21;20030102 11:26;P;;;;;;
D;004;105376;21;20030102 11:26;V;;;;;;
B;004;105511;22;20030102 11:26;;;15;BELTANA ST;BLACKSMITHS;2281;581.7;M;20020801;20020907;160000;A;R;RESIDENCE;;JN;AC;;9033579;
C;004;105511;22;20030102 11:26;13//247005;
D;004;105511;22;20030102 11:26;P;;;;;;
D;004;105511;22;20030102 11:26;V;;;;;;
D;004;105511;22;20030102 11:26;V;;;;;;
D;004;105511;22;20030102 11:26;V;;;;;;
B;004;105516;23;20030102 11:26;;;9;BINDA ST;BLACKSMITHS;2281;;;20020923;20021101;325000;A;R;RESIDENCE;;JN;AC;;9101962;
C;004;105516;23;20030102 11:26;10/10/114933;
D;004;105516;23;20030102 11:26;P;;;;;;
D;004;105516;23;20030102 11:26;V;;;;;;
B;004;105666;24;20030102 11:26;;;12;FAYMAX ST;PELICAN;2281;404.7;M;20020820;20021004;256000;A;R;RESIDENCE;;JN;AC;;9109161;
C;004;105666;24;20030102 11:26;16//801052;
D;004;105666;24;20030102 11:26;P;;;;;;
D;004;105666;24;20030102 11:26;V;;;;;;
D;004;105666;24;20030102 11:26;V;;;;;;
B;004;106192;25;20030102 11:26;;;34;PIRIWAL ST;PELICAN;2281;613.4;M;20020815;20021108;250000;A;R;RESIDENCE;;JN;AC;;9125939;
C;004;106192;25;20030102 11:26;736//755233;
D;004;106192;25;20030102 11:26;P;;;;;;
D;004;106192;25;20030102 11:26;P;;;;;;
D;004;106192;25;20030102 11:26;V;;;;;;
B;004;106252;26;20030102 11:26;;;14;TIRRANNA ST;BLACKSMITHS;2281;;;20021107;20021201;280000;A;R;RESIDENCE;;JN;;;9209990;
C;004;106252;26;20030102 11:26;27//247005;
D;004;106252;26;20030102 11:26;P;;;;;;
D;004;106252;26;20030102 11:26;P;;;;;;
D;004;106252;26;20030102 11:26;V;;;;;;
B;004;107802;27;20030102 11:26;;3;26;DAVIS ST;SPEERS POINT;2284;;;20020926;20021031;255000;;R;RESIDENCE;3;;;;9201529;
C;004;107802;27;20030102 11:26;3//SP 49068;
D;004;107802;27;20030102 11:26;P;;;;;;
D;004;107802;27;20030102 11:26;P;;;;;;
D;004;107802;27;20030102 11:26;V;;;;;;
D;004;107802;27;20030102 11:26;V;;;;;;
B;004;108246;28;20030102 11:26;;;33;FOURTH ST;BOOLAROO;2284;588.1;M;20020823;20020927;195000;A;R;RESIDENCE;;CE;AC;;9055491;
C;004;108246;28;20030102 11:26;1//333920;
D;004;108246;28;20030102 11:26;P;;;;;;
D;004;108246;28;20030102 11:26;V;;;;;;
D;004;108246;28;20030102 11:26;V;;;;;;
B;004;108960;29;20030102 11:26;;;28;RUSWELL AVE;WARNERS BAY;2282;613.4;M;20020617;20020726;217000;A;R;RESIDENCE;;DG;AC;;9077043;
C;004;108960;29;20030102 11:26;33//26371;
D;004;108960;29;20030102 11:26;P;;;;;;
D;004;108960;29;20030102 11:26;P;;;;;;
D;004;108960;29;20030102 11:26;V;;;;;;
B;004;109020;30;20030102 11:26;;;30;SECOND ST;BOOLAROO;2284;;;20021105;20021125;185000;A;R;RESIDENCE;;CE;;;9197904;
C;004;109020;30;20030102 11:26;5/B/3494;
D;004;109020;30;20030102 11:26;P;;;;;;
D;004;109020;30;20030102 11:26;P;;;;;;
D;004;109020;30;20030102 11:26;V;;;;;;
D;004;109020;30;20030102 11:26;V;;;;;;
B;004;109574;31;20030102 11:26;;;78;THOMPSON RD;SPEERS POINT;2284;3463;M;20020930;20021125;450000;A;R;RESIDENCE;;DD;;;9205192;
C;004;109574;31;20030102 11:26;17/Q/5537;
D;004;109574;31;20030102 11:26;P;;;;;;
D;004;109574;31;20030102 11:26;V;;;;;;
