A;001;20020902 13:21;PDANN;
B;001;93;1;20020902 13:21;;;18;ABERDARE RD;CESSNOCK;2325;404.8;M;20020725;20020809;86000;A;R;RESIDENCE;;GB;;;8878420;
C;001;93;1;20020902 13:21;2//309382;
D;001;93;1;20020902 13:21;P;;;;;;
D;001;93;1;20020902 13:21;V;;;;;;
B;001;233;2;20020902 13:21;;;11;CABERNET GR;CESSNOCK;2325;756.2;M;20020617;20020722;69000;A;V;VACANT LAND;;GS;;;8857559;
C;001;233;2;20020902 13:21;320//1002052;
D;001;233;2;20020902 13:21;P;;;;;;
D;001;233;2;20020902 13:21;P;;;;;;
D;001;233;2;20020902 13:21;V;;;;;;
D;001;233;2;20020902 13:21;V;;;;;;
B;001;308;3;20020902 13:21;;;4;CHAPMAN ST;CESSNOCK;2325;763.7;M;20020627;20020808;32000;A;V;VACANT LAND;;GB;AV;;8865625;
C;001;308;3;20020902 13:21;14//861116;
D;001;308;3;20020902 13:21;P;;;;;;
D;001;308;3;20020902 13:21;P;;;;;;
D;001;308;3;20020902 13:21;V;;;;;;
D;001;308;3;20020902 13:21;V;;;;;;
B;001;309;4;20020902 13:21;;;6;CHAPMAN ST;CESSNOCK;2325;763.7;M;20020624;20020806;24000;A;V;VACANT LAND;;GB;AV;;8859021;
C;001;309;4;20020902 13:21;15//861116;
D;001;309;4;20020902 13:21;P;;;;;;
D;001;309;4;20020902 13:21;V;;;;;;
D;001;309;4;20020902 13:21;V;;;;;;
B;001;311;5;20020902 13:21;;;10;CHAPMAN ST;CESSNOCK;2325;763.7;M;20020624;20020806;26000;A;V;VACANT LAND;;GB;AV;;8859024;
C;001;311;5;20020902 13:21;17//861116;
D;001;311;5;20020902 13:21;P;;;;;;
D;001;311;5;20020902 13:21;V;;;;;;
D;001;311;5;20020902 13:21;V;;;;;;
B;001;519;6;20020902 13:21;;;107;CONGEWAI ST;ABERDARE;2325;;;20020603;20020724;129000;A;R;RESIDENCE;;GA;;;8875088;
C;001;519;6;20020902 13:21;9/23/758002;
D;001;519;6;20020902 13:21;P;;;;;;
D;001;519;6;20020902 13:21;V;;;;;;
D;001;519;6;20020902 13:21;V;;;;;;
B;001;881;7;20020902 13:21;;;18;HALL ST;CESSNOCK;2325;;;20020606;20020718;230000;A;R;RESIDENCE;;GB;;;8867521;
C;001;881;7;20020902 13:21;24/A/4269;
D;001;881;7;20020902 13:21;P;;;;;;
D;001;881;7;20020902 13:21;P;;;;;;
D;001;881;7;20020902 13:21;V;;;;;;
D;001;881;7;20020902 13:21;V;;;;;;
B;001;1136;8;20020902 13:21;;;11;MAYFIELD ST;CESSNOCK;2325;;;20020613;20020814;86250;A;R;RESIDENCE;;GB;;;8886116;
C;001;1136;8;20020902 13:21;1//956706;
D;001;1136;8;20020902 13:21;P;;;;;;
D;001;1136;8;20020902 13:21;V;;;;;;
