A;010;20020201 11:57;CDIXON;
B;010;262596;1;20020201 11:57;;;;ANN ST;WALLALONG;2320;1.589;H;20011108;20011220;39500;A;V;VACANT LAND;;EL;AV;;8278209;
C;010;262596;1;20020201 11:57;7/6/976226;
D;010;262596;1;20020201 11:57;P;;;;;;
D;010;262596;1;20020201 11:57;P;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
D;010;262596;1;20020201 11:57;V;;;;;;
B;010;262829;2;20020201 11:57;;;19;SCOTT ST;WALLALONG;2320;4843;M;20011129;20011220;90000;A;V;VACANT LAND;;HX;AV;;8277198;
C;010;262829;2;20020201 11:57;1//1006527;
D;010;262829;2;20020201 11:57;P;;;;;;
D;010;262829;2;20020201 11:57;P;;;;;;
D;010;262829;2;20020201 11:57;V;;;;;;
D;010;262829;2;20020201 11:57;V;;;;;;
B;010;263153;3;20020201 11:57;;14;3 A;CAMPBELL AVE;ANNA BAY;2316;;;20011116;20020118;178000;;R;RESIDENCE;14;;;;8302371;
C;010;263153;3;20020201 11:57;14//SP 53166;
D;010;263153;3;20020201 11:57;P;;;;;;
D;010;263153;3;20020201 11:57;V;;;;;;
B;010;263250;4;20020201 11:57;;;6;DAVIDSON ST;ANNA BAY;2316;607;M;20011109;20011221;210000;A;R;RESIDENCE;;GC;AC;;8248079;
C;010;263250;4;20020201 11:57;304//13134;
D;010;263250;4;20020201 11:57;P;;;;;;
D;010;263250;4;20020201 11:57;V;;;;;;
B;010;263588;5;20020201 11:57;;;19;LANTRY PL;ANNA BAY;2316;717.9;M;20011206;20011217;277000;A;R;RESIDENCE;;GF;AC;;8237814;
C;010;263588;5;20020201 11:57;94//817496;
D;010;263588;5;20020201 11:57;P;;;;;;
D;010;263588;5;20020201 11:57;P;;;;;;
D;010;263588;5;20020201 11:57;V;;;;;;
B;010;263781;6;20020201 11:57;;4;134;GAN GAN RD;ANNA BAY;2316;69;M;20011011;20011211;155000;;3;SHOP;4;;BS;;8251376;
C;010;263781;6;20020201 11:57;4//SP 53591;
D;010;263781;6;20020201 11:57;P;;;;;;
D;010;263781;6;20020201 11:57;V;;;;;;
B;010;264056;7;20020201 11:57;;;34;ANDREW CL;BOAT HARBOUR;2316;935.8;M;20011203;20011221;60000;A;3;;;GA;AC;;8252234;
C;010;264056;7;20020201 11:57;34//241409;
D;010;264056;7;20020201 11:57;P;;;;;;
D;010;264056;7;20020201 11:57;V;;;;;;
D;010;264056;7;20020201 11:57;V;;;;;;
B;010;264081;8;20020201 11:57;;;70;BLANCH ST;BOAT HARBOUR;2316;637.77;M;20011121;20011218;130000;A;V;VACANT LAND;;GA;AV;;8241160;
C;010;264081;8;20020201 11:57;6//864564;
D;010;264081;8;20020201 11:57;P;;;;;;
D;010;264081;8;20020201 11:57;P;;;;;;
D;010;264081;8;20020201 11:57;V;;;;;;
D;010;264081;8;20020201 11:57;V;;;;;;
B;010;264488;9;20020201 11:57;;;8;ABERCROMBIE RD;MEDOWIE;2318;4065;M;20011107;20011213;195000;R;R;RESIDENCE;;YA;RR;;8227843;
C;010;264488;9;20020201 11:57;255//255278;
D;010;264488;9;20020201 11:57;P;;;;;;
D;010;264488;9;20020201 11:57;P;;;;;;
D;010;264488;9;20020201 11:57;V;;;;;;
B;010;264611;10;20020201 11:57;;;6;BARRINGUM CL;MEDOWIE;2318;783.8;M;20011210;20011218;160000;A;R;RESIDENCE;;HM;AC;;8224589;
C;010;264611;10;20020201 11:57;61//815722;
D;010;264611;10;20020201 11:57;P;;;;;;
D;010;264611;10;20020201 11:57;V;;;;;;
D;010;264611;10;20020201 11:57;V;;;;;;
B;010;264792;11;20020201 11:57;;;48 A;BROCKELSBY RD;MEDOWIE;2318;612;M;20011107;20011214;157000;A;R;RESIDENCE;;HM;AC;;8251596;
C;010;264792;11;20020201 11:57;4//854797;
D;010;264792;11;20020201 11:57;P;;;;;;
D;010;264792;11;20020201 11:57;P;;;;;;
D;010;264792;11;20020201 11:57;V;;;;;;
B;010;264797;12;20020201 11:57;;;54;BROCKELSBY RD;MEDOWIE;2318;559.8;M;20011026;20011207;124000;A;R;RESIDENCE;;HM;AC;;8281265;
C;010;264797;12;20020201 11:57;5//813700;
D;010;264797;12;20020201 11:57;P;;;;;;
D;010;264797;12;20020201 11:57;P;;;;;;
D;010;264797;12;20020201 11:57;V;;;;;;
B;010;264842;13;20020201 11:57;;;21;CASSIAS AVE;MEDOWIE;2318;704.9;M;20011030;20011128;155000;A;R;RESIDENCE;;HM;AC;;8256657;
C;010;264842;13;20020201 11:57;130//245625;
D;010;264842;13;20020201 11:57;P;;;;;;
D;010;264842;13;20020201 11:57;P;;;;;;
D;010;264842;13;20020201 11:57;V;;;;;;
D;010;264842;13;20020201 11:57;V;;;;;;
B;010;264857;14;20020201 11:57;;;14;CASSIAS AVE;MEDOWIE;2318;510.9;M;20011107;20011213;130000;A;R;RESIDENCE;;HM;AC;;8237899;
C;010;264857;14;20020201 11:57;92//245625;
D;010;264857;14;20020201 11:57;P;;;;;;
D;010;264857;14;20020201 11:57;V;;;;;;
D;010;264857;14;20020201 11:57;V;;;;;;
B;010;264924;15;20020201 11:57;;;11;CHERRY TREE CL;MEDOWIE;2318;5239;M;20011212;20020111;185000;R;R;RESIDENCE;;YA;RR;;8285275;
C;010;264924;15;20020201 11:57;1947//713229;
D;010;264924;15;20020201 11:57;P;;;;;;
D;010;264924;15;20020201 11:57;P;;;;;;
D;010;264924;15;20020201 11:57;V;;;;;;
B;010;264989;16;20020201 11:57;;;145;COACHWOOD DR;MEDOWIE;2318;647.5;M;20011211;20020110;138500;A;R;RESIDENCE;;HM;AC;;8278324;
C;010;264989;16;20020201 11:57;1//836773;
D;010;264989;16;20020201 11:57;P;;;;;;
D;010;264989;16;20020201 11:57;P;;;;;;
D;010;264989;16;20020201 11:57;V;;;;;;
B;010;265029;17;20020201 11:57;;;38;COACHWOOD DR;MEDOWIE;2318;942.8;M;20011122;20011214;189000;A;R;RESIDENCE;;HM;AC;;8261191;
C;010;265029;17;20020201 11:57;332//844507;
D;010;265029;17;20020201 11:57;P;;;;;;
D;010;265029;17;20020201 11:57;P;;;;;;
D;010;265029;17;20020201 11:57;V;;;;;;
D;010;265029;17;20020201 11:57;V;;;;;;
B;010;265098;18;20020201 11:57;;;55;COOLABAH RD;MEDOWIE;2318;542.6;M;20011126;20020111;49000;A;V;VACANT LAND;;HM;;;8297398;
C;010;265098;18;20020201 11:57;56//847643;
D;010;265098;18;20020201 11:57;P;;;;;;
D;010;265098;18;20020201 11:57;V;;;;;;
B;010;265113;19;20020201 11:57;;;25;COOLABAH RD;MEDOWIE;2318;851.7;M;20011113;20011210;174000;A;R;RESIDENCE;;HM;AC;;8250791;
C;010;265113;19;20020201 11:57;17//730472;
D;010;265113;19;20020201 11:57;P;;;;;;
D;010;265113;19;20020201 11:57;P;;;;;;
D;010;265113;19;20020201 11:57;V;;;;;;
D;010;265113;19;20020201 11:57;V;;;;;;
B;010;265124;20;20020201 11:57;;;11;COOLABAH RD;MEDOWIE;2318;686;M;20011112;20011210;117000;A;R;RESIDENCE;;HM;AC;;8218239;
C;010;265124;20;20020201 11:57;56//264064;
D;010;265124;20;20020201 11:57;P;;;;;;
