A;010;20021217 14:31;PDANN;
B;010;263958;1;20021217 14:31;;2;11;PACIFIC AVE;ANNA BAY;2316;;;20021021;20021126;192500;;R;RESIDENCE;2;;;;9180959;
C;010;263958;1;20021217 14:31;2//33311;
D;010;263958;1;20021217 14:31;P;;;;;;
D;010;263958;1;20021217 14:31;V;;;;;;
B;010;265114;2;20021217 14:31;;1;23;COOLABAH RD;MEDOWIE;2318;;;20021010;20021121;125000;;R;RESIDENCE;1;;;;9185494;
C;010;265114;2;20021217 14:31;1//SP 43997;
D;010;265114;2;20021217 14:31;P;;;;;;
D;010;265114;2;20021217 14:31;V;;;;;;
B;010;265447;3;20021217 14:31;;;95;FERODALE RD;MEDOWIE;2318;576;M;20021022;20021126;145000;A;R;RESIDENCE;;HM;;;9163057;
C;010;265447;3;20021217 14:31;5//264064;
D;010;265447;3;20021217 14:31;P;;;;;;
D;010;265447;3;20021217 14:31;V;;;;;;
B;010;266057;4;20021217 14:31;;;8;KUNZEA CL;MEDOWIE;2318;648.1;M;20021018;20021122;215500;A;R;RESIDENCE;;HM;;;9156520;
C;010;266057;4;20021217 14:31;49//833110;
D;010;266057;4;20021217 14:31;P;;;;;;
D;010;266057;4;20021217 14:31;V;;;;;;
D;010;266057;4;20021217 14:31;V;;;;;;
B;010;266790;5;20021217 14:31;;;11;SYLVAN AVE;MEDOWIE;2318;2128;M;20021024;20021121;129950;R;R;RESIDENCE;;YA;;;9167322;
C;010;266790;5;20021217 14:31;111//1014528;
D;010;266790;5;20021217 14:31;P;;;;;;
D;010;266790;5;20021217 14:31;P;;;;;;
D;010;266790;5;20021217 14:31;V;;;;;;
D;010;266790;5;20021217 14:31;V;;;;;;
B;010;266834;6;20021217 14:31;;;3;TEA TREE DR;MEDOWIE;2318;774;M;20021031;20021120;184000;A;R;RESIDENCE;;HM;;;9161305;
C;010;266834;6;20021217 14:31;246//246837;
D;010;266834;6;20021217 14:31;P;;;;;;
D;010;266834;6;20021217 14:31;P;;;;;;
D;010;266834;6;20021217 14:31;V;;;;;;
B;010;267028;7;20021217 14:31;;;8;WIRREANDA RD;MEDOWIE;2318;628.9;M;20020923;20021106;199000;A;R;RESIDENCE;;HM;;;9181266;
C;010;267028;7;20021217 14:31;24//854797;
D;010;267028;7;20021217 14:31;P;;;;;;
D;010;267028;7;20021217 14:31;P;;;;;;
D;010;267028;7;20021217 14:31;V;;;;;;
B;010;267241;8;20021217 14:31;;;17 A;VARDON RD;FERN BAY;2295;676.4;M;20020919;20021024;175000;A;R;RESIDENCE;;HF;;;9162774;
C;010;267241;8;20021217 14:31;82//817408;
D;010;267241;8;20021217 14:31;P;;;;;;
D;010;267241;8;20021217 14:31;P;;;;;;
D;010;267241;8;20021217 14:31;V;;;;;;
B;010;267761;9;20021217 14:31;;;18;MARKET ST;FINGAL BAY;2315;588.1;M;20021009;20021120;425000;A;R;RESIDENCE;;FW;;;9157861;
C;010;267761;9;20021217 14:31;10//111341;
D;010;267761;9;20021217 14:31;P;;;;;;
D;010;267761;9;20021217 14:31;P;;;;;;
D;010;267761;9;20021217 14:31;V;;;;;;
B;010;267886;10;20021217 14:31;;2;212;ROCKY POINT RD;FINGAL BAY;2315;;;20021022;20021129;335000;;R;RESIDENCE;2;;;;9185960;
C;010;267886;10;20021217 14:31;2//SP 50914;
D;010;267886;10;20021217 14:31;P;;;;;;
D;010;267886;10;20021217 14:31;P;;;;;;
D;010;267886;10;20021217 14:31;V;;;;;;
D;010;267886;10;20021217 14:31;V;;;;;;
B;010;268036;11;20021217 14:31;;;189 A;ROCKY POINT RD;FINGAL BAY;2315;290.7;M;20020913;20021018;235000;A;R;RESIDENCE;;FX;;;9167307;
C;010;268036;11;20021217 14:31;2//877025;
D;010;268036;11;20021217 14:31;P;;;;;;
D;010;268036;11;20021217 14:31;P;;;;;;
D;010;268036;11;20021217 14:31;V;;;;;;
B;010;268269;12;20021217 14:31;;;28;PACIFIC ST;FISHERMANS BAY;2316;720.8;M;20021015;20021119;910000;A;R;RESIDENCE;;GB;;;9163211;
C;010;268269;12;20021217 14:31;288//753204;
D;010;268269;12;20021217 14:31;P;;;;;;
D;010;268269;12;20021217 14:31;P;;;;;;
D;010;268269;12;20021217 14:31;P;;;;;;
D;010;268269;12;20021217 14:31;V;;;;;;
B;010;268278;13;20021217 14:31;;;1;PARK ST;FISHERMANS BAY;2316;575.4;M;20021031;20021122;372000;A;R;RESIDENCE;;GB;;;9181253;
C;010;268278;13;20021217 14:31;272//753204;
D;010;268278;13;20021217 14:31;P;;;;;;
D;010;268278;13;20021217 14:31;P;;;;;;
D;010;268278;13;20021217 14:31;V;;;;;;
B;010;268410;14;20021217 14:31;;;9;BOONARA BEND;KARUAH;2324;841;M;20021021;20021118;17500;R;V;VACANT LAND;;RH;;;9173286;
C;010;268410;14;20021217 14:31;714//11741;
D;010;268410;14;20021217 14:31;P;;;;;;
D;010;268410;14;20021217 14:31;V;;;;;;
B;010;269093;15;20021217 14:31;;;45;DEAN PDE;LEMON TREE PASSAGE;2319;512.2;M;20021004;20021120;262000;A;R;RESIDENCE;;FL;;;9172802;
C;010;269093;15;20021217 14:31;123//221189;
D;010;269093;15;20021217 14:31;P;;;;;;
D;010;269093;15;20021217 14:31;P;;;;;;
D;010;269093;15;20021217 14:31;V;;;;;;
B;010;269369;16;20021217 14:31;;;34;GOULD DR;LEMON TREE PASSAGE;2319;556.4;M;20021011;20021122;270000;A;R;RESIDENCE;;FL;;;9172305;
C;010;269369;16;20021217 14:31;161//223671;
D;010;269369;16;20021217 14:31;P;;;;;;
D;010;269369;16;20021217 14:31;P;;;;;;
D;010;269369;16;20021217 14:31;V;;;;;;
D;010;269369;16;20021217 14:31;V;;;;;;
B;010;269449;17;20021217 14:31;;;54;JAMES SCOTT CRES;LEMON TREE PASSAGE;2319;550.1;M;20021105;20021122;175000;A;R;RESIDENCE;;FL;;;9165698;
C;010;269449;17;20021217 14:31;52//225672;
D;010;269449;17;20021217 14:31;P;;;;;;
D;010;269449;17;20021217 14:31;P;;;;;;
D;010;269449;17;20021217 14:31;V;;;;;;
B;010;269624;18;20021217 14:31;;;20;JOHNSON PDE;LEMON TREE PASSAGE;2319;;;20021025;20021122;190000;A;R;RESIDENCE;;FL;;;9159311;
C;010;269624;18;20021217 14:31;106//15682;
D;010;269624;18;20021217 14:31;P;;;;;;
D;010;269624;18;20021217 14:31;V;;;;;;
D;010;269624;18;20021217 14:31;V;;;;;;
B;010;269855;19;20021217 14:31;;;16;MORTON AVE;LEMON TREE PASSAGE;2319;670.3;M;20021017;20021121;165000;A;R;RESIDENCE;;FL;;;9172778;
C;010;269855;19;20021217 14:31;91//221189;
D;010;269855;19;20021217 14:31;P;;;;;;
D;010;269855;19;20021217 14:31;V;;;;;;
B;010;269908;20;20021217 14:31;;;24;PAROA AVE;LEMON TREE PASSAGE;2319;531.1;M;20021025;20021122;240000;A;R;RESIDENCE;;FL;;;9181468;
C;010;269908;20;20021217 14:31;129//225672;
D;010;269908;20;20021217 14:31;P;;;;;;
D;010;269908;20;20021217 14:31;V;;;;;;
B;010;269950;21;20021217 14:31;;;36;RAISS CL;LEMON TREE PASSAGE;2319;581.7;M;20020917;20021024;73000;A;V;VACANT LAND;;FL;;;9184192;
C;010;269950;21;20021217 14:31;60//233734;
D;010;269950;21;20021217 14:31;P;;;;;;
D;010;269950;21;20021217 14:31;P;;;;;;
D;010;269950;21;20021217 14:31;V;;;;;;
D;010;269950;21;20021217 14:31;V;;;;;;
B;010;270656;22;20021217 14:31;;;54;ACHILLES ST;NELSON BAY;2315;556.4;M;20020913;20021115;320000;A;R;RESIDENCE;;GN;;;9162343;
C;010;270656;22;20021217 14:31;85//224365;
D;010;270656;22;20021217 14:31;P;;;;;;
D;010;270656;22;20021217 14:31;V;;;;;;
B;010;271004;23;20021217 14:31;;;84;BAGNALL BEACH RD;CORLETTE;2315;814;M;20021004;20021119;325000;A;R;RESIDENCE;;FC;;;9158211;
C;010;271004;23;20021217 14:31;821//874084;
D;010;271004;23;20021217 14:31;P;;;;;;
D;010;271004;23;20021217 14:31;P;;;;;;
D;010;271004;23;20021217 14:31;V;;;;;;
B;010;271142;24;20021217 14:31;;;11;BONITO ST;CORLETTE;2315;789.7;M;20020806;20021011;675000;A;R;RESIDENCE;;FC;;;9174020;
C;010;271142;24;20021217 14:31;38//818151;
D;010;271142;24;20021217 14:31;P;;;;;;
D;010;271142;24;20021217 14:31;P;;;;;;
D;010;271142;24;20021217 14:31;V;;;;;;
D;010;271142;24;20021217 14:31;V;;;;;;
B;010;272088;25;20021217 14:31;;53;2;GOWRIE AVE;NELSON BAY;2315;;;20021028;20021125;362500;;R;RESIDENCE;53;;;;9163853;
C;010;272088;25;20021217 14:31;53//22158;
D;010;272088;25;20021217 14:31;P;;;;;;
D;010;272088;25;20021217 14:31;V;;;;;;
B;010;272359;26;20021217 14:31;;;4;IRAWARI CRES;NELSON BAY;2315;651.3;M;20021001;20021114;330000;A;R;RESIDENCE;;GX;;;9170561;
C;010;272359;26;20021217 14:31;39//9165;
D;010;272359;26;20021217 14:31;P;;;;;;
D;010;272359;26;20021217 14:31;P;;;;;;
D;010;272359;26;20021217 14:31;V;;;;;;
B;010;272428;27;20021217 14:31;;;2;KELVIN GR;NELSON BAY;2315;;;20021125;20021127;400000;A;R;RESIDENCE;;GQ;;;9182230;
C;010;272428;27;20021217 14:31;101//11268;
D;010;272428;27;20021217 14:31;P;;;;;;
D;010;272428;27;20021217 14:31;V;;;;;;
B;010;273783;28;20021217 14:31;;;81;STOCKTON ST;NELSON BAY;2315;613.3;M;20020923;20021029;457000;A;R;RESIDENCE;;GX;;;9184523;
C;010;273783;28;20021217 14:31;270//650512;
D;010;273783;28;20021217 14:31;P;;;;;;
D;010;273783;28;20021217 14:31;V;;;;;;
B;010;273785;29;20021217 14:31;;;77;STOCKTON ST;NELSON BAY;2315;626;M;20021016;20021120;110000;A;3;;;GX;;;9157916;
