A;004;20021119 09:13;PDANN;
B;004;96395;1;20021119 09:13;;;18;BRANDON ST;ARGENTON;2284;510;M;20020904;20021004;189000;A;R;RESIDENCE;;CB;;;9093585;
C;004;96395;1;20021119 09:13;6//258943;
D;004;96395;1;20021119 09:13;P;;;;;;
D;004;96395;1;20021119 09:13;P;;;;;;
D;004;96395;1;20021119 09:13;V;;;;;;
B;004;97405;2;20021119 09:13;;;3;HIGHLAND AVE;COORANBONG;2265;975.7;M;20020925;20021021;315000;A;R;RESIDENCE;;NJ;;;9085059;
C;004;97405;2;20021119 09:13;5//1019060;
D;004;97405;2;20021119 09:13;P;;;;;;
D;004;97405;2;20021119 09:13;P;;;;;;
D;004;97405;2;20021119 09:13;V;;;;;;
D;004;97405;2;20021119 09:13;V;;;;;;
B;004;97499;3;20021119 09:13;;;23;PRESCOTT AVE;COORANBONG;2265;519.9;M;20020920;20021030;237000;A;R;RESIDENCE;;NJ;;;9093469;
C;004;97499;3;20021119 09:13;19//865588;
D;004;97499;3;20021119 09:13;P;;;;;;
D;004;97499;3;20021119 09:13;P;;;;;;
D;004;97499;3;20021119 09:13;V;;;;;;
D;004;97499;3;20021119 09:13;V;;;;;;
B;004;98800;4;20021119 09:13;;;2;DALTON CL;BELMONT NORTH;2280;645;M;20020917;20021018;234000;A;R;RESIDENCE;;JF;;;9091597;
C;004;98800;4;20021119 09:13;33//241833;
D;004;98800;4;20021119 09:13;P;;;;;;
D;004;98800;4;20021119 09:13;V;;;;;;
D;004;98800;4;20021119 09:13;V;;;;;;
B;004;99626;5;20021119 09:13;;;4;EVANS ST;BELMONT;2280;486.9;M;20020819;20021024;135000;B;R;RESIDENCE;;TA;;;9084297;
C;004;99626;5;20021119 09:13;16//17799;
D;004;99626;5;20021119 09:13;P;;;;;;
D;004;99626;5;20021119 09:13;V;;;;;;
B;004;100353;6;20021119 09:13;;;50;HAIG ST;BELMONT;2280;739.8;M;20020829;20021003;205000;A;R;RESIDENCE;;JA;;;9095517;
C;004;100353;6;20021119 09:13;1/O/10799;
D;004;100353;6;20021119 09:13;P;;;;;;
D;004;100353;6;20021119 09:13;V;;;;;;
B;004;100554;7;20021119 09:13;;;48;HARRISON ST;BELMONT NORTH;2280;624.7;M;20020926;20021030;430000;A;R;RESIDENCE;;JG;;;9107042;
C;004;100554;7;20021119 09:13;43//262253;
D;004;100554;7;20021119 09:13;P;;;;;;
D;004;100554;7;20021119 09:13;P;;;;;;
D;004;100554;7;20021119 09:13;V;;;;;;
D;004;100554;7;20021119 09:13;V;;;;;;
B;004;101116;8;20021119 09:13;;;8;KIMBARRA CL;BELMONT NORTH;2280;630;M;20020607;20021028;350000;A;R;RESIDENCE;;JQ;;;9092645;
C;004;101116;8;20021119 09:13;110//774535;
D;004;101116;8;20021119 09:13;P;;;;;;
D;004;101116;8;20021119 09:13;V;;;;;;
B;004;101249;9;20021119 09:13;;;28;LEICESTER AVE;BELMONT NORTH;2280;663.9;M;20020905;20021003;232000;A;R;RESIDENCE;;JF;;;9073286;
C;004;101249;9;20021119 09:13;1//225924;
D;004;101249;9;20021119 09:13;P;;;;;;
D;004;101249;9;20021119 09:13;V;;;;;;
B;004;101392;10;20021119 09:13;;1;33;LEWERS ST;BELMONT;2280;;;20020909;20021022;229950;;R;RESIDENCE;1;;;;9095913;
C;004;101392;10;20021119 09:13;1//63319;
D;004;101392;10;20021119 09:13;P;;;;;;
D;004;101392;10;20021119 09:13;P;;;;;;
D;004;101392;10;20021119 09:13;V;;;;;;
D;004;101392;10;20021119 09:13;V;;;;;;
B;004;101611;11;20021119 09:13;;;4;MARIAN PL;BELMONT NORTH;2280;505.9;M;20020925;20021018;300000;A;R;RESIDENCE;;JE;;;9077922;
C;004;101611;11;20021119 09:13;21//239325;
D;004;101611;11;20021119 09:13;P;;;;;;
D;004;101611;11;20021119 09:13;P;;;;;;
D;004;101611;11;20021119 09:13;V;;;;;;
D;004;101611;11;20021119 09:13;V;;;;;;
B;004;101698;12;20021119 09:13;;;20;MATELOT PL;BELMONT;2280;736.6;M;20020807;20021018;120000;A;V;VACANT LAND;;JB;;;9080111;
C;004;101698;12;20021119 09:13;33//879395;
D;004;101698;12;20021119 09:13;P;;;;;;
D;004;101698;12;20021119 09:13;V;;;;;;
D;004;101698;12;20021119 09:13;V;;;;;;
B;004;102098;13;20021119 09:13;;;7;NEW ST;BELMONT SOUTH;2280;;;20020912;20021017;432000;A;R;RESIDENCE;;JK;;;9079245;
C;004;102098;13;20021119 09:13;4//13898;
D;004;102098;13;20021119 09:13;P;;;;;;
D;004;102098;13;20021119 09:13;P;;;;;;
D;004;102098;13;20021119 09:13;V;;;;;;
B;004;102450;14;20021119 09:13;;;465;PACIFIC HWY;BELMONT;2280;720.8;M;20020917;20021030;210000;A;V;VACANT LAND;;JA;;;9108946;
C;004;102450;14;20021119 09:13;1//35162;
D;004;102450;14;20021119 09:13;P;;;;;;
D;004;102450;14;20021119 09:13;V;;;;;;
D;004;102450;14;20021119 09:13;V;;;;;;
B;004;102693;15;20021119 09:13;;;678;PACIFIC HWY;BELMONT;2280;393;M;20020823;20021011;735000;A;R;RESIDENCE;;JD;;;9103027;
C;004;102693;15;20021119 09:13;A//329912;
D;004;102693;15;20021119 09:13;P;;;;;;
D;004;102693;15;20021119 09:13;V;;;;;;
D;004;102693;15;20021119 09:13;V;;;;;;
B;004;103415;16;20021119 09:13;;;27;SPINNAKER RIDGE WAY;BELMONT;2280;603.1;M;20021003;20021028;620000;A;R;RESIDENCE;;JB;;;9094658;
C;004;103415;16;20021119 09:13;300//787415;
D;004;103415;16;20021119 09:13;P;;;;;;
D;004;103415;16;20021119 09:13;P;;;;;;
D;004;103415;16;20021119 09:13;V;;;;;;
D;004;103415;16;20021119 09:13;V;;;;;;
B;004;104270;17;20021119 09:13;;;116;WOMMARA AVE;BELMONT NORTH;2280;;;20020914;20021023;131500;A;R;RESIDENCE;;JE;;;9100641;
C;004;104270;17;20021119 09:13;21/D/13738;
D;004;104270;17;20021119 09:13;P;;;;;;
D;004;104270;17;20021119 09:13;V;;;;;;
B;004;104868;18;20021119 09:13;;;87;LAKE ST;BLACKALLS PARK;2283;1037;M;20020824;20021011;250000;A;R;RESIDENCE;;FJ;;;9107019;
C;004;104868;18;20021119 09:13;11//12847;
D;004;104868;18;20021119 09:13;P;;;;;;
D;004;104868;18;20021119 09:13;P;;;;;;
D;004;104868;18;20021119 09:13;V;;;;;;
B;004;104978;19;20021119 09:13;;;5;PARK AVE;BLACKALLS PARK;2283;;;20020904;20021018;200000;A;R;RESIDENCE;;FJ;;;9083467;
C;004;104978;19;20021119 09:13;13/C/8463;
D;004;104978;19;20021119 09:13;P;;;;;;
D;004;104978;19;20021119 09:13;P;;;;;;
D;004;104978;19;20021119 09:13;P;;;;;;
D;004;104978;19;20021119 09:13;P;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
D;004;104978;19;20021119 09:13;V;;;;;;
B;004;104978;20;20021119 09:13;;;5;PARK AVE;BLACKALLS PARK;2283;;;20020904;20021018;50000;A;R;RESIDENCE;;FJ;;;9083468;
C;004;104978;20;20021119 09:13;13/C/8463;
D;004;104978;20;20021119 09:13;P;;;;;;
D;004;104978;20;20021119 09:13;P;;;;;;
D;004;104978;20;20021119 09:13;P;;;;;;
D;004;104978;20;20021119 09:13;V;;;;;;
D;004;104978;20;20021119 09:13;V;;;;;;
D;004;104978;20;20021119 09:13;V;;;;;;
D;004;104978;20;20021119 09:13;V;;;;;;
D;004;104978;20;20021119 09:13;V;;;;;;
D;004;104978;20;20021119 09:13;V;;;;;;
