A;003;20020301 13:34;CDIXON;
B;003;25268;1;20020301 13:34;;;2;ABELIA PL;UMINA;2257;689.2;M;20011220;20020131;127500;A;V;VACANT LAND;;GG;;;8354041;
C;003;25268;1;20020301 13:34;164//241876;
D;003;25268;1;20020301 13:34;P;;;;;;
D;003;25268;1;20020301 13:34;P;;;;;;
D;003;25268;1;20020301 13:34;V;;;;;;
B;003;25413;2;20020301 13:34;;3;36;ADELAIDE ST;EAST GOSFORD;2250;;;20011126;20020131;230000;;R;RESIDENCE;3;;;;8355423;
C;003;25413;2;20020301 13:34;3//SP 49796;
D;003;25413;2;20020301 13:34;P;;;;;;
D;003;25413;2;20020301 13:34;P;;;;;;
D;003;25413;2;20020301 13:34;V;;;;;;
B;003;25508;3;20020301 13:34;;;5;AGATE AVE;PEARL BEACH;2256;370.1;M;20011220;20020124;620000;A;R;RESIDENCE;;FV;AC;;8322471;
C;003;25508;3;20020301 13:34;2//876373;
D;003;25508;3;20020301 13:34;P;;;;;;
D;003;25508;3;20020301 13:34;V;;;;;;
B;003;25606;4;20020301 13:34;;;100 E;ALAN ST;NIAGARA PARK;2250;1182;M;20011213;20020125;137000;A;R;RESIDENCE;;GK;;;8343638;
C;003;25606;4;20020301 13:34;14//880321;
D;003;25606;4;20020301 13:34;P;;;;;;
D;003;25606;4;20020301 13:34;P;;;;;;
D;003;25606;4;20020301 13:34;V;;;;;;
D;003;25606;4;20020301 13:34;V;;;;;;
B;003;25818;5;20020301 13:34;;6;146;ALBANY ST;POINT FREDERICK;2250;;;20011022;20011221;124000;;R;RESIDENCE;6;;XA;;8323231;
C;003;25818;5;20020301 13:34;6//3284;
D;003;25818;5;20020301 13:34;P;;;;;;
D;003;25818;5;20020301 13:34;P;;;;;;
D;003;25818;5;20020301 13:34;V;;;;;;
D;003;25818;5;20020301 13:34;V;;;;;;
D;003;25818;5;20020301 13:34;V;;;;;;
B;003;25964;6;20020301 13:34;;;177;ALBANY ST;POINT FREDERICK;2250;746.1;M;20011221;20020201;550000;A;R;RESIDENCE;;MD;;;8341862;
C;003;25964;6;20020301 13:34;1//17420;
D;003;25964;6;20020301 13:34;P;;;;;;
D;003;25964;6;20020301 13:34;P;;;;;;
D;003;25964;6;20020301 13:34;V;;;;;;
B;003;26249;7;20020301 13:34;;;65;ALBION ST;UMINA;2257;499.5;M;20011212;20020206;245000;A;R;RESIDENCE;;MA;;;8359339;
C;003;26249;7;20020301 13:34;192//9103;
D;003;26249;7;20020301 13:34;P;;;;;;
D;003;26249;7;20020301 13:34;P;;;;;;
D;003;26249;7;20020301 13:34;V;;;;;;
D;003;26249;7;20020301 13:34;V;;;;;;
B;003;26260;8;20020301 13:34;;;87;ALBION ST;UMINA;2257;499.5;M;20011218;20020129;222000;A;R;RESIDENCE;;MA;;;8353343;
C;003;26260;8;20020301 13:34;181//9103;
D;003;26260;8;20020301 13:34;P;;;;;;
D;003;26260;8;20020301 13:34;P;;;;;;
D;003;26260;8;20020301 13:34;V;;;;;;
D;003;26260;8;20020301 13:34;V;;;;;;
