A;008;20020201 11:59;CDIXON;
B;008;201536;1;20020201 11:59;;16;28;ABEL ST;WALLSEND;2287;1251;M;20011213;20011213;207000;A;V;VACANT LAND;;AU;AV;;8205767;
C;008;201536;1;20020201 11:59;PT 16//285622 NORTH;
D;008;201536;1;20020201 11:59;P;;;;;;
D;008;201536;1;20020201 11:59;V;;;;;;
D;008;201536;1;20020201 11:59;V;;;;;;
B;008;201537;2;20020201 11:59;;17;28;ABEL ST;WALLSEND;2287;1186;M;20011213;20011213;207000;A;V;VACANT LAND;;AU;AV;;8205767;
C;008;201537;2;20020201 11:59;PT 16//285622 SOUTH;
D;008;201537;2;20020201 11:59;P;;;;;;
D;008;201537;2;20020201 11:59;V;;;;;;
D;008;201537;2;20020201 11:59;V;;;;;;
B;008;201586;3;20020201 11:59;;;46;ACACIA AVE;WARATAH WEST;2298;556.4;M;20011119;20011220;160000;A;R;RESIDENCE;;JP;AC;;8273826;
C;008;201586;3;20020201 11:59;1//22565;
D;008;201586;3;20020201 11:59;P;;;;;;
D;008;201586;3;20020201 11:59;V;;;;;;
D;008;201586;3;20020201 11:59;V;;;;;;
B;008;201609;4;20020201 11:59;;;2;ACACIA AVE;WARATAH WEST;2298;790.4;M;20011114;20020111;224950;A;R;RESIDENCE;;JP;AC;;8279852;
C;008;201609;4;20020201 11:59;77//212714;
D;008;201609;4;20020201 11:59;P;;;;;;
D;008;201609;4;20020201 11:59;V;;;;;;
B;008;201658;5;20020201 11:59;;1;101;ACACIA AVE;NORTH LAMBTON;2299;;;20011219;20011219;75000;;R;RESIDENCE;1;;XA;;8270926;
C;008;201658;5;20020201 11:59;1//SP 40859;
D;008;201658;5;20020201 11:59;P;;;;;;
D;008;201658;5;20020201 11:59;V;;;;;;
D;008;201658;5;20020201 11:59;V;;;;;;
B;008;201658;6;20020201 11:59;;2;101;ACACIA AVE;NORTH LAMBTON;2299;;;20011016;20011210;82900;;R;RESIDENCE;2;;XA;;8218402;
C;008;201658;6;20020201 11:59;2//SP 40859;
D;008;201658;6;20020201 11:59;P;;;;;;
D;008;201658;6;20020201 11:59;P;;;;;;
D;008;201658;6;20020201 11:59;V;;;;;;
B;008;201683;7;20020201 11:59;;;17;ACKERON ST;MAYFIELD;2304;;;20011002;20011206;130000;A;R;RESIDENCE;;JX;AC;;8249840;
C;008;201683;7;20020201 11:59;364//986916;
D;008;201683;7;20020201 11:59;P;;;;;;
D;008;201683;7;20020201 11:59;P;;;;;;
D;008;201683;7;20020201 11:59;V;;;;;;
B;008;202026;8;20020201 11:59;;;17;ALBERT ST;WICKHAM;2293;229.9;M;20011119;20011214;92000;B;R;RESIDENCE;;BW;AC;;8232044;
C;008;202026;8;20020201 11:59;1//795216;
D;008;202026;8;20020201 11:59;P;;;;;;
D;008;202026;8;20020201 11:59;P;;;;;;
D;008;202026;8;20020201 11:59;V;;;;;;
B;008;202259;9;20020201 11:59;;;31;ALDYTH ST;NEW LAMBTON;2305;689.8;M;20011201;20020114;298000;A;R;RESIDENCE;;FG;;;8283508;
C;008;202259;9;20020201 11:59;1//16503;
D;008;202259;9;20020201 11:59;P;;;;;;
D;008;202259;9;20020201 11:59;P;;;;;;
D;008;202259;9;20020201 11:59;V;;;;;;
D;008;202259;9;20020201 11:59;V;;;;;;
B;008;202279;10;20020201 11:59;;;12;ALEXANDER ST;HAMILTON SOUTH;2303;;;20011029;20011220;460000;A;R;RESIDENCE;;FV;;;8292017;
C;008;202279;10;20020201 11:59;14/3/192607;
D;008;202279;10;20020201 11:59;P;;;;;;
D;008;202279;10;20020201 11:59;P;;;;;;
D;008;202279;10;20020201 11:59;V;;;;;;
D;008;202279;10;20020201 11:59;V;;;;;;
B;008;202288;11;20020201 11:59;;;30;ALEXANDER ST;HAMILTON SOUTH;2303;366.7;M;20011113;20011217;485000;A;R;RESIDENCE;;FT;AC;;8255248;
C;008;202288;11;20020201 11:59;52//1011985;
D;008;202288;11;20020201 11:59;P;;;;;;
D;008;202288;11;20020201 11:59;P;;;;;;
D;008;202288;11;20020201 11:59;V;;;;;;
B;008;202322;12;20020201 11:59;;;21;ALEXANDER ST;HAMILTON SOUTH;2303;;;20010920;20011207;410000;A;R;RESIDENCE;;FV;AC;;8216845;
C;008;202322;12;20020201 11:59;7//95310;
D;008;202322;12;20020201 11:59;P;;;;;;
D;008;202322;12;20020201 11:59;P;;;;;;
D;008;202322;12;20020201 11:59;V;;;;;;
B;008;202374;13;20020201 11:59;;;16;ALFRED ST;NEWCASTLE EAST;2300;75.9;M;20011109;20011214;242500;A;R;RESIDENCE;;KF;;;8300091;
C;008;202374;13;20020201 11:59;4//666914;
D;008;202374;13;20020201 11:59;P;;;;;;
D;008;202374;13;20020201 11:59;P;;;;;;
D;008;202374;13;20020201 11:59;V;;;;;;
B;008;202449;14;20020201 11:59;;;13;ALICE ST;MEREWETHER;2291;505.9;M;20010901;20011005;194500;A;R;RESIDENCE;;HJ;AC;;8091020;
C;008;202449;14;20020201 11:59;B//340513;
D;008;202449;14;20020201 11:59;P;;;;;;
D;008;202449;14;20020201 11:59;V;;;;;;
B;008;202459;15;20020201 11:59;;;15 A;ALKOO CRES;MARYLAND;2287;317.9;M;20011101;20011211;126500;A;R;RESIDENCE;;AA;AC;;8223624;
C;008;202459;15;20020201 11:59;2//849636;
D;008;202459;15;20020201 11:59;P;;;;;;
D;008;202459;15;20020201 11:59;V;;;;;;
B;008;202547;16;20020201 11:59;;;31;ALISTER ST;SHORTLAND;2307;645.8;M;20011219;20020121;242000;A;R;RESIDENCE;;JM;;;8312230;
C;008;202547;16;20020201 11:59;71//573628;
D;008;202547;16;20020201 11:59;P;;;;;;
D;008;202547;16;20020201 11:59;P;;;;;;
D;008;202547;16;20020201 11:59;V;;;;;;
B;008;202930;17;20020201 11:59;;29;3;BRITANIA BVDE;FLETCHER;2287;652.2;M;20011031;20011205;70000;A;V;VACANT LAND;;AP;AV;;8226286;
C;008;202930;17;20020201 11:59;29//869101;
D;008;202930;17;20020201 11:59;P;;;;;;
D;008;202930;17;20020201 11:59;P;;;;;;
D;008;202930;17;20020201 11:59;V;;;;;;
B;008;203109;18;20020201 11:59;;;96;ANDERSON DR;TARRO;2322;1190;M;20011121;20011204;32500;A;R;RESIDENCE;;DA;AC;;8261351;
C;008;203109;18;20020201 11:59;72//584110;
D;008;203109;18;20020201 11:59;P;;;;;;
D;008;203109;18;20020201 11:59;V;;;;;;
D;008;203109;18;20020201 11:59;V;;;;;;
B;008;203262;19;20020201 11:59;;2;;ANGOPHORA DR;WARABROOK;2304;;;20011203;20011221;149000;;3;HOME UNIT;2;;;;8290848;
C;008;203262;19;20020201 11:59;2//45855;
D;008;203262;19;20020201 11:59;P;;;;;;
D;008;203262;19;20020201 11:59;V;;;;;;
B;008;203508;20;20020201 11:59;;;15;ANTILL ST;MAYFIELD;2304;;;20011121;20020111;138000;A;R;RESIDENCE;;JD;AC;;8275289;
C;008;203508;20;20020201 11:59;10//37394;
D;008;203508;20;20020201 11:59;P;;;;;;
D;008;203508;20;20020201 11:59;V;;;;;;
D;008;203508;20;20020201 11:59;V;;;;;;
B;008;203622;21;20020201 11:59;;;23;ARCHER CRES;MARYLAND;2287;655;M;20011206;20011219;145000;A;R;RESIDENCE;;AA;AC;;8257676;
C;008;203622;21;20020201 11:59;50//805266;
D;008;203622;21;20020201 11:59;P;;;;;;
D;008;203622;21;20020201 11:59;V;;;;;;
B;008;203805;22;20020201 11:59;;;58;ARIES WAY;ELERMORE VALE;2287;532.5;M;20011214;20020118;216500;A;R;RESIDENCE;;AL;;;8295517;
C;008;203805;22;20020201 11:59;123//259255;
D;008;203805;22;20020201 11:59;P;;;;;;
D;008;203805;22;20020201 11:59;P;;;;;;
D;008;203805;22;20020201 11:59;V;;;;;;
D;008;203805;22;20020201 11:59;V;;;;;;
B;008;203810;23;20020201 11:59;;;48;ARIES WAY;ELERMORE VALE;2287;516.8;M;20011113;20011221;225000;A;R;RESIDENCE;;AL;;;8285814;
