A;011;20021101 11:20;PDANN;
B;011;292303;1;20021101 11:20;;;;CARTERS RD;SCONE;2337;203;H;20020710;20020821;92500;R;R;RESIDENCE;;GS;RG;;9017318;
C;011;292303;1;20021101 11:20;138, 139, 141//752478 Enclosure Permit 51038;
D;011;292303;1;20021101 11:20;P;;;;;;
D;011;292303;1;20021101 11:20;P;;;;;;
D;011;292303;1;20021101 11:20;V;;;;;;
B;011;292598;2;20021101 11:20;;;75;BEDFORD ST;ABERDEEN;2336;1897;M;20020826;20020927;83000;A;R;RESIDENCE;;AA;AC;;9037709;
C;011;292598;2;20021101 11:20;7/28/758003;
D;011;292598;2;20021101 11:20;P;;;;;;
D;011;292598;2;20021101 11:20;V;;;;;;
D;011;292598;2;20021101 11:20;V;;;;;;
B;011;292623;3;20021101 11:20;;;22;CAMPBELL ST;ABERDEEN;2336;700;M;20020807;20020830;82000;A;R;RESIDENCE;;AA;;;9054214;
C;011;292623;3;20021101 11:20;3//263661;
D;011;292623;3;20021101 11:20;P;;;;;;
D;011;292623;3;20021101 11:20;P;;;;;;
D;011;292623;3;20021101 11:20;V;;;;;;
B;011;292802;4;20021101 11:20;;2;1;KYUGA ST;ABERDEEN;2336;;;20011129;20020327;62500;;R;RESIDENCE;2;;XA;;9023837;
C;011;292802;4;20021101 11:20;2//SP 61492;
D;011;292802;4;20021101 11:20;P;;;;;;
D;011;292802;4;20021101 11:20;V;;;;;;
B;011;292818;5;20021101 11:20;;;33;MCADAM ST;ABERDEEN;2336;1012;M;20020830;20021009;69500;A;R;RESIDENCE;;AA;AC;;9025515;
C;011;292818;5;20021101 11:20;2//9033;
D;011;292818;5;20021101 11:20;P;;;;;;
D;011;292818;5;20021101 11:20;P;;;;;;
D;011;292818;5;20021101 11:20;V;;;;;;
B;011;292848;6;20021101 11:20;;;10;MCLEOD ST;ABERDEEN;2336;1058;M;20020730;20020906;110000;A;R;RESIDENCE;;AA;;;9056582;
C;011;292848;6;20021101 11:20;31//261048;
D;011;292848;6;20021101 11:20;P;;;;;;
D;011;292848;6;20021101 11:20;V;;;;;;
D;011;292848;6;20021101 11:20;V;;;;;;
B;011;292980;7;20021101 11:20;;;134;MACQUEEN ST;ABERDEEN;2336;1088;M;20020826;20020902;180000;B;3;SERVICE STATI;;BA;BG;;9011198;
C;011;292980;7;20021101 11:20;11//659952;
D;011;292980;7;20021101 11:20;P;;;;;;
D;011;292980;7;20021101 11:20;P;;;;;;
D;011;292980;7;20021101 11:20;V;;;;;;
B;011;293033;8;20021101 11:20;;;95;MACQUEEN ST;ABERDEEN;2336;961.1;M;20020731;20020903;59000;A;R;RESIDENCE;;AA;AC;;8958218;
C;011;293033;8;20021101 11:20;89/4/521923;
D;011;293033;8;20021101 11:20;P;;;;;;
D;011;293033;8;20021101 11:20;P;;;;;;
D;011;293033;8;20021101 11:20;V;;;;;;
D;011;293033;8;20021101 11:20;V;;;;;;
B;011;293161;9;20021101 11:20;;;86;SEGENHOE ST;ABERDEEN;2336;900.5;M;20020823;20021011;86000;A;R;RESIDENCE;;AA;;;9043321;
C;011;293161;9;20021101 11:20;221//869795;
D;011;293161;9;20021101 11:20;P;;;;;;
D;011;293161;9;20021101 11:20;P;;;;;;
D;011;293161;9;20021101 11:20;V;;;;;;
B;011;293173;10;20021101 11:20;;;120;SEGENHOE ST;ABERDEEN;2336;871.6;M;20020614;20021014;135000;A;R;RESIDENCE;;AA;;;9064703;
C;011;293173;10;20021101 11:20;7//258231;
D;011;293173;10;20021101 11:20;P;;;;;;
D;011;293173;10;20021101 11:20;V;;;;;;
B;011;293705;11;20021101 11:20;;;35;EVELEIGH CT;SCONE;2337;722.9;M;20020820;20021011;98000;A;3;;;AW;AC;;9035050;
C;011;293705;11;20021101 11:20;35//701858;
D;011;293705;11;20021101 11:20;P;;;;;;
D;011;293705;11;20021101 11:20;P;;;;;;
D;011;293705;11;20021101 11:20;V;;;;;;
B;011;293747;12;20021101 11:20;;;4;GRAY ST;SCONE;2337;880;M;20020830;20021004;185000;R;R;RESIDENCE;;HG;;;9053884;
