A;RTSALEDATA;656;20201214 01:04;VALNET;
B;656;2737579;1;20201214 01:04;;4;36;PACIFIC DR;PORT MACQUARIE;2444;;;20201027;20201208;549000;;R;RESIDENCE;4;;;0;AQ627341;
C;656;2737579;1;20201214 01:04;4/SP67355;
D;656;2737579;1;20201214 01:04;P;;;;;;
D;656;2737579;1;20201214 01:04;P;;;;;;
D;656;2737579;1;20201214 01:04;V;;;;;;
B;656;2966383;2;20201214 01:04;;3;1;TABLE ST;PORT MACQUARIE;2444;;;20200826;20201210;395000;;R;RESIDENCE;3;;;0;AQ633013;
C;656;2966383;2;20201214 01:04;3/SP69579;
D;656;2966383;2;20201214 01:04;P;;;;;;
D;656;2966383;2;20201214 01:04;V;;;;;;
B;656;4181214;3;20201214 01:04;;;37;ANTIGUA AVE;LAKE CATHIE;2445;945.4;M;20201111;20201207;371000;R1;R;RESIDENCE;;ABT;;0;AQ620487;
C;656;4181214;3;20201214 01:04;12/1230717;
D;656;4181214;3;20201214 01:04;P;;;;;;
D;656;4181214;3;20201214 01:04;V;;;;;;
B;656;4189764;4;20201214 01:04;;;37;SONGBIRD CCT;PORT MACQUARIE;2444;560;M;20201110;20201208;375000;R1;R;RESIDENCE;;AAL;;0;AQ625163;
C;656;4189764;4;20201214 01:04;9/1247352;
D;656;4189764;4;20201214 01:04;P;;;;;;
D;656;4189764;4;20201214 01:04;P;;;;;;
D;656;4189764;4;20201214 01:04;V;;;;;;
B;656;4168179;5;20201214 01:04;;;4;MANIKATO WAY;PORT MACQUARIE;2444;577.5;M;20201006;20201207;230000;R1;V;VACANT LAND;;ABD;;0;AQ620187;
C;656;4168179;5;20201214 01:04;437/1244641;
D;656;4168179;5;20201214 01:04;P;;;;;;
D;656;4168179;5;20201214 01:04;P;;;;;;
D;656;4168179;5;20201214 01:04;V;;;;;;
B;656;4231791;6;20201214 01:04;;;37;HOMEDALE RD;KEW;2439;717.5;M;20201123;20201207;560000;R1;R;RESIDENCE;;ZTL;;0;AQ620099;
C;656;4231791;6;20201214 01:04;56/1255875;
D;656;4231791;6;20201214 01:04;P;;;;;;
D;656;4231791;6;20201214 01:04;P;;;;;;
D;656;4231791;6;20201214 01:04;V;;;;;;
B;656;3036879;7;20201214 01:04;;;77;KING CREEK RD;KING CREEK;2446;6776;M;20201105;20201208;1130000;R5;R;RESIDENCE;;RMQ;;0;AQ626404;
C;656;3036879;7;20201214 01:04;1/1060024;
D;656;3036879;7;20201214 01:04;P;;;;;;
D;656;3036879;7;20201214 01:04;P;;;;;;
D;656;3036879;7;20201214 01:04;V;;;;;;
B;656;3093361;8;20201214 01:04;;55;67;WILLIAM ST;PORT MACQUARIE;2444;;;20201111;20201209;1400000;;R;RESIDENCE;55;;;0;AQ631289;
C;656;3093361;8;20201214 01:04;55/SP72775;
D;656;3093361;8;20201214 01:04;P;;;;;;
D;656;3093361;8;20201214 01:04;P;;;;;;
D;656;3093361;8;20201214 01:04;V;;;;;;
D;656;3093361;8;20201214 01:04;V;;;;;;
D;656;3093361;8;20201214 01:04;V;;;;;;
B;656;3129957;9;20201214 01:04;;;12;WREN CL;KEW;2439;808.4;M;20201028;20201209;575000;R1;R;RESIDENCE;;ADA;;0;AQ629039;
C;656;3129957;9;20201214 01:04;10/1070547;
D;656;3129957;9;20201214 01:04;P;;;;;;
D;656;3129957;9;20201214 01:04;V;;;;;;
D;656;3129957;9;20201214 01:04;V;;;;;;
B;656;3640855;10;20201214 01:04;;;36;KYLA CRES;PORT MACQUARIE;2444;609.5;M;20201112;20201207;630000;R1;R;RESIDENCE;;ABD;;0;AQ620748;
C;656;3640855;10;20201214 01:04;112/1175668;
D;656;3640855;10;20201214 01:04;P;;;;;;
D;656;3640855;10;20201214 01:04;V;;;;;;
B;656;4018529;11;20201214 01:04;;;15 A;USHER ST;PORT MACQUARIE;2444;309.2;M;20201113;20201207;492000;R1;R;RESIDENCE;;ABD;;0;AQ621767;
C;656;4018529;11;20201214 01:04;1/1229938;
D;656;4018529;11;20201214 01:04;P;;;;;;
D;656;4018529;11;20201214 01:04;V;;;;;;
D;656;4018529;11;20201214 01:04;V;;;;;;
B;656;4107446;12;20201214 01:04;;;41;GUNSYND CH;PORT MACQUARIE;2444;466.1;M;20200623;20201208;589000;R1;R;RESIDENCE;;ABD;;0;AQ626943;
C;656;4107446;12;20201214 01:04;351/1237302;
D;656;4107446;12;20201214 01:04;P;;;;;;
D;656;4107446;12;20201214 01:04;P;;;;;;
D;656;4107446;12;20201214 01:04;V;;;;;;
