A;RTSALEDATA;220;20191007 01:08;VALNET;
B;220;2413008;1;20191007 01:08;;;61;OLIPHANT ST;MOUNT PRITCHARD;2170;557.48;M;20190816;20190927;275000;R2;R;RESIDENCE;;RAI;;0;AP566236;
C;220;2413008;1;20191007 01:08;279/32187;
D;220;2413008;1;20191007 01:08;P;;;;;;
D;220;2413008;1;20191007 01:08;P;;;;;;
D;220;2413008;1;20191007 01:08;V;;;;;;
D;220;2413008;1;20191007 01:08;V;;;;;;
B;220;2405089;2;20191007 01:08;;;54;LOMBARD ST;FAIRFIELD;2165;518.6;M;20190720;20190930;761000;R2;R;RESIDENCE;;RAG;;0;AP573010;
C;220;2405089;2;20191007 01:08;113, 114/6/431;
D;220;2405089;2;20191007 01:08;P;;;;;;
D;220;2405089;2;20191007 01:08;V;;;;;;
B;220;2413145;3;20191007 01:08;;;18;OPAL PL;BOSSLEY PARK;2176;550.5;M;20190831;20190930;800000;R2;R;RESIDENCE;;RAE;;0;AP570926;
C;220;2413145;3;20191007 01:08;20/771355;
D;220;2413145;3;20191007 01:08;P;;;;;;
D;220;2413145;3;20191007 01:08;P;;;;;;
D;220;2413145;3;20191007 01:08;P;;;;;;
D;220;2413145;3;20191007 01:08;V;;;;;;
D;220;2413145;3;20191007 01:08;V;;;;;;
B;220;2421177;4;20191007 01:08;;;1;SHORTLANDS ST;CANLEY VALE;2166;556.4;M;20190815;20190926;590000;R2;R;RESIDENCE;;RAC;;0;AP564477;
C;220;2421177;4;20191007 01:08;7/25159;
D;220;2421177;4;20191007 01:08;P;;;;;;
D;220;2421177;4;20191007 01:08;P;;;;;;
D;220;2421177;4;20191007 01:08;V;;;;;;
B;220;2391692;5;20191007 01:08;;;28;FRASER RD;CANLEY VALE;2166;897.8;M;20190724;20190930;800000;R2;R;RESIDENCE;;RAC;;0;AP571161;
C;220;2391692;5;20191007 01:08;3/14394;
D;220;2391692;5;20191007 01:08;P;;;;;;
D;220;2391692;5;20191007 01:08;V;;;;;;
B;220;2422087;6;20191007 01:08;;;40;SMITHS AVE;CABRAMATTA;2166;638.6;M;20190902;20191002;715000;R2;R;RESIDENCE;;RAC;;0;AP579698;
C;220;2422087;6;20191007 01:08;47/29867;
D;220;2422087;6;20191007 01:08;P;;;;;;
D;220;2422087;6;20191007 01:08;V;;;;;;
D;220;2422087;6;20191007 01:08;V;;;;;;
B;220;2386559;7;20191007 01:08;;;32;DARTFORD ST;MOUNT PRITCHARD;2170;556.4;M;20190827;20190930;690000;R2;R;RESIDENCE;;RAI;;0;AP573698;
