A;RTSALEDATA;250;20191007 01:09;VALNET;
B;250;3563131;1;20191007 01:09;;;137;LOGAN ST;TENTERFIELD;2372;1524;M;20190830;20190930;460000;RU5;R;RESIDENCE;;ATR;;0;AP571102;
C;250;3563131;1;20191007 01:09;22/1161424;
D;250;3563131;1;20191007 01:09;P;;;;;;
D;250;3563131;1;20191007 01:09;P;;;;;;
D;250;3563131;1;20191007 01:09;V;;;;;;
B;250;2669256;2;20191007 01:09;;;59;MOLESWORTH ST;TENTERFIELD;2372;1012;M;20190903;20190930;215000;RU5;R;RESIDENCE;;ATR;;0;AP574692;
C;250;2669256;2;20191007 01:09;E/10237;
D;250;2669256;2;20191007 01:09;P;;;;;;
D;250;2669256;2;20191007 01:09;P;;;;;;
D;250;2669256;2;20191007 01:09;V;;;;;;
B;250;2669470;3;20191007 01:09;;;6;RAILWAY AVE;TENTERFIELD;2372;1634;M;20190816;20190927;380000;RU5;R;RESIDENCE;;ATR;;0;AP566121;
C;250;2669470;3;20191007 01:09;1/801201;
D;250;2669470;3;20191007 01:09;P;;;;;;
D;250;2669470;3;20191007 01:09;P;;;;;;
D;250;2669470;3;20191007 01:09;V;;;;;;
B;250;2669532;4;20191007 01:09;;;475;ROUSE ST;TENTERFIELD;2372;8549;M;20190819;20190927;202500;RU5;R;RESIDENCE;;ATR;;0;AP566746;
C;250;2669532;4;20191007 01:09;1/604392;
D;250;2669532;4;20191007 01:09;P;;;;;;
D;250;2669532;4;20191007 01:09;V;;;;;;
B;250;2669608;5;20191007 01:09;;;131;ROUSE ST;TENTERFIELD;2372;1728;M;20190917;20191002;290000;RU5;R;RESIDENCE;;ATR;;0;AP578833;
C;250;2669608;5;20191007 01:09;2/714861;
D;250;2669608;5;20191007 01:09;P;;;;;;
D;250;2669608;5;20191007 01:09;P;;;;;;
D;250;2669608;5;20191007 01:09;V;;;;;;
B;250;2669728;6;20191007 01:09;;;508;ROUSE ST;TENTERFIELD;2372;9951;M;20190711;20190927;200000;RU5;V;VACANT LAND;;ATR;;0;AP566753;
C;250;2669728;6;20191007 01:09;3/802874;
D;250;2669728;6;20191007 01:09;P;;;;;;
D;250;2669728;6;20191007 01:09;P;;;;;;
D;250;2669728;6;20191007 01:09;V;;;;;;
B;250;2668456;7;20191007 01:09;;;104;DOUGLAS ST;TENTERFIELD;2372;663.9;M;20190910;20190927;219000;RU5;R;RESIDENCE;;ATR;;0;AP565841;
C;250;2668456;7;20191007 01:09;1/36055;
D;250;2668456;7;20191007 01:09;P;;;;;;
D;250;2668456;7;20191007 01:09;P;;;;;;
D;250;2668456;7;20191007 01:09;V;;;;;;
D;250;2668456;7;20191007 01:09;V;;;;;;
B;250;3223262;8;20191007 01:09;;;25;GLADSTONE ST;JENNINGS;4383;3036;M;20190823;20191002;137500;RU5;R;RESIDENCE;;ZVJ;;0;AP579812;
C;250;3223262;8;20191007 01:09;18, 19, 20/5/758540;
D;250;3223262;8;20191007 01:09;P;;;;;;
D;250;3223262;8;20191007 01:09;V;;;;;;
B;250;3247674;9;20191007 01:09;;;50;LOGAN ST;TENTERFIELD;2372;897.3;M;20190830;20190930;195000;RU5;R;RESIDENCE;;ATR;;0;AP571417;
C;250;3247674;9;20191007 01:09;2/835951;
D;250;3247674;9;20191007 01:09;P;;;;;;
D;250;3247674;9;20191007 01:09;V;;;;;;
D;250;3247674;9;20191007 01:09;V;;;;;;
B;250;3840113;10;20191007 01:09;;;9;DRUMMOND ST;TENTERFIELD;2372;2.024;H;20190911;20190930;320000;RU5;R;RESIDENCE;;ALB;;0;AP570605;
C;250;3840113;10;20191007 01:09;4, 5/1102708;
D;250;3840113;10;20191007 01:09;P;;;;;;
D;250;3840113;10;20191007 01:09;P;;;;;;
D;250;3840113;10;20191007 01:09;V;;;;;;
D;250;3840113;10;20191007 01:09;V;;;;;;
Z;52;10;10;30;
