A;RTSALEDATA;254;20200622 01:02;VALNET;
B;254;2683725;1;20200622 01:02;GLENMUIR;;1506;MERRIGAL RD;MERRIGAL;2827;1524.5;H;20200421;20200602;3955087;RU1;3;FARM;;RMA;;0;AQ146413;
C;254;2683725;1;20200622 01:02;7, 24, 25, 62/752587 Enclosure Permit 59240;
D;254;2683725;1;20200622 01:02;P;;;;;;
D;254;2683725;1;20200622 01:02;P;;;;;;
D;254;2683725;1;20200622 01:02;V;;;;;;
D;254;2683725;1;20200622 01:02;V;;;;;;
B;254;4298360;2;20200622 01:02;;;;MONTGOMERYS RD;CATHUNDRAL;2823;18.12;H;20191004;20200428;9997;;V;VACANT LAND;;;;0;AQ121368;
C;254;4298360;2;20200622 01:02;2/1261542;
D;254;4298360;2;20200622 01:02;P;;;;;;
D;254;4298360;2;20200622 01:02;V;;;;;;
B;254;4298362;3;20200622 01:02;;;;ELLENGERAH RD;GIN GIN;2823;2.47;H;20191004;20200428;9997;;V;VACANT LAND;;;;0;AQ121368;
C;254;4298362;3;20200622 01:02;PT 1/1260732;
D;254;4298362;3;20200622 01:02;P;;;;;;
D;254;4298362;3;20200622 01:02;V;;;;;;
Z;16;3;3;8;
