A;RTSALEDATA;255;20190610 01:05;VALNET;
B;255;2687945;1;20190610 01:05;;;212;ACACIA RD;CURLWAA;2648;3229;M;20180808;20180808;29200;RU1;R;RESIDENCE;;AZ1;;0;AP116677;
C;255;2687945;1;20190610 01:05;1/810189;
D;255;2687945;1;20190610 01:05;P;;;;;;
D;255;2687945;1;20190610 01:05;P;;;;;;
D;255;2687945;1;20190610 01:05;V;;;;;;
D;255;2687945;1;20190610 01:05;V;;;;;;
B;255;2686620;2;20190610 01:05;;;106;WOOD ST;GOL GOL;2738;1794;M;20190208;20190531;362000;RU5;R;RESIDENCE;;AV1;;0;AP291815;
C;255;2686620;2;20190610 01:05;5/258510;
D;255;2686620;2;20190610 01:05;P;;;;;;
D;255;2686620;2;20190610 01:05;V;;;;;;
D;255;2686620;2;20190610 01:05;V;;;;;;
B;255;3185588;3;20190610 01:05;;;8 B;DAWN AVE;GOL GOL;2738;501;M;20190507;20190604;285000;RU5;R;RESIDENCE;;AV1;;0;AP298599;
C;255;3185588;3;20190610 01:05;1/1082757;
D;255;3185588;3;20190610 01:05;P;;;;;;
D;255;3185588;3;20190610 01:05;V;;;;;;
D;255;3185588;3;20190610 01:05;V;;;;;;
B;255;3639361;4;20190610 01:05;;;59;CHANTERS LANE;TRENTHAM CLIFFS;2738;16.77;H;20180911;20181108;371420;RU1;3;FARM;;BH1;;0;AN923633;
C;255;3639361;4;20190610 01:05;2/1159609 Western Land Lease 14921;
D;255;3639361;4;20190610 01:05;P;;;;;;
D;255;3639361;4;20190610 01:05;P;;;;;;
D;255;3639361;4;20190610 01:05;P;;;;;;
D;255;3639361;4;20190610 01:05;V;;;;;;
B;255;3296734;5;20190610 01:05;;;;WAKEFIELD LANE;CURLWAA;2648;12.24;H;20190328;20190328;49400;RU1;R;RESIDENCE;;CH1;;0;AP269242;
C;255;3296734;5;20190610 01:05;1/1107710 Term Lease 362839;
D;255;3296734;5;20190610 01:05;P;;;;;;
D;255;3296734;5;20190610 01:05;P;;;;;;
D;255;3296734;5;20190610 01:05;V;;;;;;
D;255;3296734;5;20190610 01:05;V;;;;;;
Z;30;5;5;18;
