A;RTSALEDATA;050;20201109 01:01;VALNET;
B;050;3444799;1;20201109 01:01;;;16;O'SHEA ST;LAVINGTON;2641;554;M;20200923;20201104;292000;R1;R;RESIDENCE;;AHV;;0;AQ528636;
C;050;3444799;1;20201109 01:01;3/1136997;
D;050;3444799;1;20201109 01:01;P;;;;;;
D;050;3444799;1;20201109 01:01;P;;;;;;
D;050;3444799;1;20201109 01:01;V;;;;;;
B;050;3459724;2;20201109 01:01;;;40;NICOLA PL;LAVINGTON;2641;928.8;M;20200825;20201030;530000;R1;R;RESIDENCE;;ALV;;0;AQ515776;
C;050;3459724;2;20201109 01:01;55/1139648;
D;050;3459724;2;20201109 01:01;P;;;;;;
D;050;3459724;2;20201109 01:01;P;;;;;;
D;050;3459724;2;20201109 01:01;V;;;;;;
D;050;3459724;2;20201109 01:01;V;;;;;;
B;050;3472797;3;20201109 01:01;;;6;BLACKET PL;HAMILTON VALLEY;2641;605.1;M;20201009;20201030;325000;R1;R;RESIDENCE;;AHV;;0;AQ516583;
C;050;3472797;3;20201109 01:01;24/1130995;
D;050;3472797;3;20201109 01:01;P;;;;;;
D;050;3472797;3;20201109 01:01;P;;;;;;
D;050;3472797;3;20201109 01:01;V;;;;;;
D;050;3472797;3;20201109 01:01;V;;;;;;
B;050;4164977;4;20201109 01:01;;;11;MULGARA DR;THURGOONA;2640;703;M;20200917;20201030;135000;R1;V;VACANT LAND;;ATN;;0;AQ515786;
C;050;4164977;4;20201109 01:01;132/1247709;
D;050;4164977;4;20201109 01:01;P;;;;;;
D;050;4164977;4;20201109 01:01;V;;;;;;
B;050;4209882;5;20201109 01:01;;;65;NEWPORT CRES;THURGOONA;2640;465.8;M;20200902;20201030;135000;R1;V;VACANT LAND;;ATN;;0;AQ516193;
C;050;4209882;5;20201109 01:01;49/1248443;
D;050;4209882;5;20201109 01:01;P;;;;;;
D;050;4209882;5;20201109 01:01;V;;;;;;
B;050;4207256;6;20201109 01:01;;;167;NEWPORT CRES;THURGOONA;2640;704.3;M;20200827;20201102;160000;R1;V;VACANT LAND;;ATN;;0;AQ521874;
C;050;4207256;6;20201109 01:01;3/1235036;
D;050;4207256;6;20201109 01:01;P;;;;;;
D;050;4207256;6;20201109 01:01;P;;;;;;
D;050;4207256;6;20201109 01:01;V;;;;;;
B;050;4159034;7;20201109 01:01;;;36;GUY PL;THURGOONA;2640;810.9;M;20200921;20201104;152500;R1;V;VACANT LAND;;ATN;;0;AQ528685;
C;050;4159034;7;20201109 01:01;19/1246427;
D;050;4159034;7;20201109 01:01;P;;;;;;
D;050;4159034;7;20201109 01:01;P;;;;;;
D;050;4159034;7;20201109 01:01;V;;;;;;
B;050;4234039;8;20201109 01:01;;10;82;MERKEL ST;THURGOONA;2640;51.4;M;20201001;20201030;82500;IN1;3;WAREHOUSE;;DNS;;0;AQ514881;
C;050;4234039;8;20201109 01:01;10/286858;
D;050;4234039;8;20201109 01:01;P;;;;;;
D;050;4234039;8;20201109 01:01;P;;;;;;
D;050;4234039;8;20201109 01:01;V;;;;;;
B;050;488545;9;20201109 01:01;;2;672;DAVID ST;ALBURY;2640;69;M;20200918;20201030;185500;;R;RESIDENCE;2;;;0;AQ514728;
C;050;488545;9;20201109 01:01;2/SP35671;
D;050;488545;9;20201109 01:01;P;;;;;;
D;050;488545;9;20201109 01:01;V;;;;;;
B;050;488888;10;20201109 01:01;;;451;DEAN ST;ALBURY;2640;278.2;M;20201016;20201030;800000;B3;3;COMMERCIAL;;CCC;;0;AQ517166;
C;050;488888;10;20201109 01:01;2/530458;
D;050;488888;10;20201109 01:01;P;;;;;;
D;050;488888;10;20201109 01:01;V;;;;;;
B;050;486482;11;20201109 01:01;;;589;BROAD ST;EAST ALBURY;2640;765.1;M;20200914;20201102;350000;R1;R;RESIDENCE;;AEA;;0;AQ520728;
C;050;486482;11;20201109 01:01;B/391913;
D;050;486482;11;20201109 01:01;P;;;;;;
D;050;486482;11;20201109 01:01;V;;;;;;
B;050;484629;12;20201109 01:01;;;1104;ALBETTA CRES;NORTH ALBURY;2640;1000;M;20201028;20201030;200000;R1;R;RESIDENCE;;AMA;;0;AQ519266;
C;050;484629;12;20201109 01:01;151/244695;
D;050;484629;12;20201109 01:01;P;;;;;;
D;050;484629;12;20201109 01:01;V;;;;;;
D;050;484629;12;20201109 01:01;V;;;;;;
B;050;487872;13;20201109 01:01;;;2;CONMURRA WAY;SPRINGDALE HEIGHTS;2641;686.4;M;20200904;20201103;215000;R1;R;RESIDENCE;;ALV;;0;AQ524213;
C;050;487872;13;20201109 01:01;274/252927;
D;050;487872;13;20201109 01:01;P;;;;;;
D;050;487872;13;20201109 01:01;V;;;;;;
B;050;485342;14;20201109 01:01;;;139;BARANBALE WAY;SPRINGDALE HEIGHTS;2641;765.9;M;20201002;20201102;269000;R1;R;RESIDENCE;;ALV;;0;AQ521089;
C;050;485342;14;20201109 01:01;1/716428;
D;050;485342;14;20201109 01:01;P;;;;;;
D;050;485342;14;20201109 01:01;P;;;;;;
D;050;485342;14;20201109 01:01;V;;;;;;
D;050;485342;14;20201109 01:01;V;;;;;;
B;050;485384;15;20201109 01:01;;;1081;BARDIA ST;NORTH ALBURY;2640;720.8;M;20200924;20201030;130000;R1;R;RESIDENCE;;ANN;;0;AQ518325;
C;050;485384;15;20201109 01:01;97/38111;
D;050;485384;15;20201109 01:01;P;;;;;;
D;050;485384;15;20201109 01:01;V;;;;;;
B;050;499414;16;20201109 01:01;;;454;ROSE ST;LAVINGTON;2641;999.1;M;20200922;20201030;432500;R1;R;RESIDENCE;;ALV;;0;AQ517753;
C;050;499414;16;20201109 01:01;9/38900;
D;050;499414;16;20201109 01:01;P;;;;;;
D;050;499414;16;20201109 01:01;P;;;;;;
D;050;499414;16;20201109 01:01;V;;;;;;
B;050;491472;17;20201109 01:01;;;226;GULPHA ST;NORTH ALBURY;2640;834.7;M;20200918;20201102;295000;R1;R;RESIDENCE;;ANN;;0;AQ521892;
C;050;491472;17;20201109 01:01;152/39332;
D;050;491472;17;20201109 01:01;P;;;;;;
D;050;491472;17;20201109 01:01;V;;;;;;
B;050;494174;18;20201109 01:01;;;217;KOOBA ST;NORTH ALBURY;2640;803;M;20201012;20201104;244000;R1;R;RESIDENCE;;ANN;;0;AQ527882;
C;050;494174;18;20201109 01:01;6/221876;
D;050;494174;18;20201109 01:01;P;;;;;;
D;050;494174;18;20201109 01:01;P;;;;;;
D;050;494174;18;20201109 01:01;V;;;;;;
D;050;494174;18;20201109 01:01;V;;;;;;
B;050;491558;19;20201109 01:01;;3;614;HAGUE ST;LAVINGTON;2641;;;20200924;20201105;141500;;R;RESIDENCE;3;;;0;AQ530907;
C;050;491558;19;20201109 01:01;3/SP32578;
D;050;491558;19;20201109 01:01;P;;;;;;
D;050;491558;19;20201109 01:01;P;;;;;;
D;050;491558;19;20201109 01:01;V;;;;;;
D;050;491558;19;20201109 01:01;V;;;;;;
B;050;491760;20;20201109 01:01;;;491;HANEL ST;EAST ALBURY;2640;658.03;M;20201001;20201102;495000;R1;R;RESIDENCE;;AEA;;0;AQ521137;
C;050;491760;20;20201109 01:01;A/151513;
D;050;491760;20;20201109 01:01;P;;;;;;
D;050;491760;20;20201109 01:01;V;;;;;;
D;050;491760;20;20201109 01:01;V;;;;;;
