A;RTSALEDATA;171;20200706 01:01;VALNET;
B;171;2877467;1;20200706 01:01;;178;2;FALCON WAY;TWEED HEADS SOUTH;2486;;;20200428;20200702;385000;;R;RESIDENCE;75;;;0;AQ221146;
C;171;2877467;1;20200706 01:01;75/SP70193;
D;171;2877467;1;20200706 01:01;P;;;;;;
D;171;2877467;1;20200706 01:01;V;;;;;;
D;171;2877467;1;20200706 01:01;V;;;;;;
B;171;2955225;2;20200706 01:01;THE OASIS;7;2;FALCON WAY;TWEED HEADS SOUTH;2486;385;M;20200529;20200630;477000;R1;R;RESIDENCE;;ANI;;0;AQ211640;
C;171;2955225;2;20200706 01:01;7/285761;
D;171;2955225;2;20200706 01:01;P;;;;;;
D;171;2955225;2;20200706 01:01;V;;;;;;
D;171;2955225;2;20200706 01:01;V;;;;;;
B;171;3401733;3;20200706 01:01;COTTON BEACH;94;685;CASUARINA WAY;CASUARINA;2487;;;20200515;20200626;1300000;;R;RESIDENCE;94;;;0;AQ205435;
C;171;3401733;3;20200706 01:01;94/SP81047;
D;171;3401733;3;20200706 01:01;P;;;;;;
D;171;3401733;3;20200706 01:01;V;;;;;;
B;171;1808435;4;20200706 01:01;;1;83;CALOOLA DR;TWEED HEADS;2485;;;20200518;20200626;485000;;R;RESIDENCE;1;;;0;AQ205633;
C;171;1808435;4;20200706 01:01;1/SP30613;
D;171;1808435;4;20200706 01:01;P;;;;;;
D;171;1808435;4;20200706 01:01;P;;;;;;
D;171;1808435;4;20200706 01:01;V;;;;;;
B;171;1803806;5;20200706 01:01;;;30;ALTAIR ST;TWEED HEADS SOUTH;2486;644.9;M;20200502;20200701;383000;R2;R;RESIDENCE;;ANK;;0;AQ217588;
C;171;1803806;5;20200706 01:01;6/239236;
D;171;1803806;5;20200706 01:01;P;;;;;;
D;171;1803806;5;20200706 01:01;V;;;;;;
B;171;1806353;6;20200706 01:01;;2;43;BLUE WATERS CRES;TWEED HEADS WEST;2485;172;M;20200529;20200626;580500;;R;RESIDENCE;2;;;0;AQ203533;
C;171;1806353;6;20200706 01:01;2/SP13581;
D;171;1806353;6;20200706 01:01;P;;;;;;
D;171;1806353;6;20200706 01:01;V;;;;;;
D;171;1806353;6;20200706 01:01;V;;;;;;
B;171;1809152;7;20200706 01:01;;;25;CHAMPAGNE DR;TWEED HEADS SOUTH;2486;722.8;M;20200507;20200629;30000;R2;R;RESIDENCE;;ANB;;0;AQ207951;
C;171;1809152;7;20200706 01:01;1002/879739;
D;171;1809152;7;20200706 01:01;P;;;;;;
D;171;1809152;7;20200706 01:01;V;;;;;;
D;171;1809152;7;20200706 01:01;V;;;;;;
B;171;1809350;8;20200706 01:01;;;28;CHARLES ST;TWEED HEADS;2485;815.7;M;20200604;20200626;790000;R3;R;RESIDENCE;;AKE;;0;AQ205455;
C;171;1809350;8;20200706 01:01;484/755740;
D;171;1809350;8;20200706 01:01;P;;;;;;
D;171;1809350;8;20200706 01:01;P;;;;;;
D;171;1809350;8;20200706 01:01;V;;;;;;
B;171;1806798;9;20200706 01:01;;;38;BOTANICAL CCT;BANORA POINT;2486;636.4;M;20200526;20200626;660000;R2;R;RESIDENCE;;AHR;;0;AQ204450;
C;171;1806798;9;20200706 01:01;86/1006590;
D;171;1806798;9;20200706 01:01;P;;;;;;
D;171;1806798;9;20200706 01:01;P;;;;;;
D;171;1806798;9;20200706 01:01;V;;;;;;
B;171;1804323;10;20200706 01:01;;;108;ASH DR;BANORA POINT;2486;748.8;M;20200602;20200702;610000;R2;R;RESIDENCE;;AHQ;;0;AQ220327;
C;171;1804323;10;20200706 01:01;74/819520;
D;171;1804323;10;20200706 01:01;P;;;;;;
D;171;1804323;10;20200706 01:01;P;;;;;;
D;171;1804323;10;20200706 01:01;V;;;;;;
B;171;1828633;11;20200706 01:01;;;;PIGGABEEN RD;TWEED HEADS WEST;2485;4.024;H;20200626;20200626;300000;P;V;VACANT LAND;;XD;;0;AQ206735;
C;171;1828633;11;20200706 01:01;101/1016787;
D;171;1828633;11;20200706 01:01;P;;;;;;
D;171;1828633;11;20200706 01:01;V;;;;;;
B;171;1834238;12;20200706 01:01;;;45;THE HERMITAGE;TWEED HEADS SOUTH;2486;700.5;M;20200430;20200626;663000;R2;R;RESIDENCE;;ANB;;0;AQ203004;
C;171;1834238;12;20200706 01:01;431/865374;
D;171;1834238;12;20200706 01:01;P;;;;;;
D;171;1834238;12;20200706 01:01;P;;;;;;
D;171;1834238;12;20200706 01:01;V;;;;;;
B;171;1813451;13;20200706 01:01;;;83;ELANORA AVE;POTTSVILLE;2489;632.9;M;20200430;20200702;860000;R2;R;RESIDENCE;;ALX;;0;AQ219487;
C;171;1813451;13;20200706 01:01;15/249208;
D;171;1813451;13;20200706 01:01;P;;;;;;
D;171;1813451;13;20200706 01:01;P;;;;;;
D;171;1813451;13;20200706 01:01;V;;;;;;
B;171;1815924;14;20200706 01:01;;33;6;GRAY ST;TWEED HEADS WEST;2485;;;20200406;20200701;229000;;R;RESIDENCE;40;;;0;AQ216598;
C;171;1815924;14;20200706 01:01;40/SP47465;
D;171;1815924;14;20200706 01:01;P;;;;;;
D;171;1815924;14;20200706 01:01;P;;;;;;
D;171;1815924;14;20200706 01:01;V;;;;;;
D;171;1815924;14;20200706 01:01;V;;;;;;
B;171;1816021;15;20200706 01:01;;;15;GREENVALE CT;BURRINGBAR;2483;4070;M;20200519;20200630;850000;R5;R;RESIDENCE;;RRD;;0;AQ211932;
C;171;1816021;15;20200706 01:01;11/739297;
D;171;1816021;15;20200706 01:01;P;;;;;;
D;171;1816021;15;20200706 01:01;V;;;;;;
D;171;1816021;15;20200706 01:01;V;;;;;;
B;171;1813877;16;20200706 01:01;;3;12;ENDEAVOUR PDE;TWEED HEADS;2485;;;20200511;20200702;510000;;R;RESIDENCE;3;;;0;AQ219569;
C;171;1813877;16;20200706 01:01;3/SP3665;
D;171;1813877;16;20200706 01:01;P;;;;;;
D;171;1813877;16;20200706 01:01;P;;;;;;
D;171;1813877;16;20200706 01:01;V;;;;;;
D;171;1813877;16;20200706 01:01;V;;;;;;
B;171;1813877;17;20200706 01:01;;9;12;ENDEAVOUR PDE;TWEED HEADS;2485;;;20200511;20200702;510000;;R;RESIDENCE;9;;;0;AQ219569;
C;171;1813877;17;20200706 01:01;9/SP3665;
D;171;1813877;17;20200706 01:01;P;;;;;;
D;171;1813877;17;20200706 01:01;P;;;;;;
D;171;1813877;17;20200706 01:01;V;;;;;;
D;171;1813877;17;20200706 01:01;V;;;;;;
B;171;1829841;18;20200706 01:01;;13;6;FLORENCE ST;TWEED HEADS;2485;;;20200602;20200702;365000;;R;RESIDENCE;13;;;0;AQ219527;
C;171;1829841;18;20200706 01:01;13/SP45881;
D;171;1829841;18;20200706 01:01;P;;;;;;
D;171;1829841;18;20200706 01:01;P;;;;;;
D;171;1829841;18;20200706 01:01;V;;;;;;
B;171;1835341;19;20200706 01:01;;2;9;UNIACKE DR;BANORA POINT;2486;;;20200622;20200630;431000;;R;RESIDENCE;2;;;0;AQ212038;
C;171;1835341;19;20200706 01:01;2/SP32952;
D;171;1835341;19;20200706 01:01;P;;;;;;
D;171;1835341;19;20200706 01:01;P;;;;;;
D;171;1835341;19;20200706 01:01;V;;;;;;
B;171;1817208;20;20200706 01:01;;5;14;HONEYSUCKLE ST;TWEED HEADS WEST;2485;;;20200529;20200629;229000;;R;RESIDENCE;5;;;0;AQ207358;
C;171;1817208;20;20200706 01:01;5/SP18207;
D;171;1817208;20;20200706 01:01;P;;;;;;
D;171;1817208;20;20200706 01:01;P;;;;;;
D;171;1817208;20;20200706 01:01;V;;;;;;
D;171;1817208;20;20200706 01:01;V;;;;;;
B;171;1833056;21;20200706 01:01;;;20;SULLIVAN ST;TWEED HEADS SOUTH;2486;809.43;M;20200513;20200702;505000;R2;R;RESIDENCE;;ANK;;0;AQ221263;
C;171;1833056;21;20200706 01:01;7/509287;
D;171;1833056;21;20200706 01:01;P;;;;;;
D;171;1833056;21;20200706 01:01;P;;;;;;
D;171;1833056;21;20200706 01:01;V;;;;;;
B;171;1814995;22;20200706 01:01;;2;14;FRANCES ST;TWEED HEADS;2485;;;20200416;20200626;540000;;R;RESIDENCE;2;;;0;AQ203006;
C;171;1814995;22;20200706 01:01;2/SP35034;
D;171;1814995;22;20200706 01:01;P;;;;;;
D;171;1814995;22;20200706 01:01;V;;;;;;
B;171;1822574;23;20200706 01:01;;;9;MAHERS LANE;TERRANORA;2486;1439;M;20200429;20200626;751000;RU5;R;RESIDENCE;;AMA;;0;AQ203033;
C;171;1822574;23;20200706 01:01;5/719950;
D;171;1822574;23;20200706 01:01;P;;;;;;
D;171;1822574;23;20200706 01:01;P;;;;;;
D;171;1822574;23;20200706 01:01;V;;;;;;
D;171;1822574;23;20200706 01:01;V;;;;;;
B;171;1830632;24;20200706 01:01;;;5;ROBERTA CRES;BILAMBIL HEIGHTS;2486;619.7;M;20200529;20200701;485000;R2;R;RESIDENCE;;ANF;;0;AQ218066;
C;171;1830632;24;20200706 01:01;20/31041;
D;171;1830632;24;20200706 01:01;P;;;;;;
D;171;1830632;24;20200706 01:01;V;;;;;;
D;171;1830632;24;20200706 01:01;V;;;;;;
B;171;1830665;25;20200706 01:01;;;3;ROWLANDS CREEK RD;UKI;2484;805.7;M;20200601;20200702;53000;RU5;R;RESIDENCE;;AMC;;0;AQ220848;
C;171;1830665;25;20200706 01:01;1/611868;
D;171;1830665;25;20200706 01:01;P;;;;;;
D;171;1830665;25;20200706 01:01;P;;;;;;
D;171;1830665;25;20200706 01:01;P;;;;;;
D;171;1830665;25;20200706 01:01;V;;;;;;
D;171;1830665;25;20200706 01:01;V;;;;;;
B;171;1830905;26;20200706 01:01;;;590;ROUND MOUNTAIN RD;ROUND MOUNTAIN;2484;5.504;H;20200528;20200629;400000;RU2;R;RESIDENCE;;RRQ;;0;AQ209056;
C;171;1830905;26;20200706 01:01;10/1006230;
D;171;1830905;26;20200706 01:01;P;;;;;;
D;171;1830905;26;20200706 01:01;P;;;;;;
D;171;1830905;26;20200706 01:01;P;;;;;;
D;171;1830905;26;20200706 01:01;V;;;;;;
B;171;1828312;27;20200706 01:01;;;110;PENINSULA DR;BILAMBIL HEIGHTS;2486;613.4;M;20200518;20200626;575000;R2;R;RESIDENCE;;ANF;;0;AQ204832;
C;171;1828312;27;20200706 01:01;388/31220;
D;171;1828312;27;20200706 01:01;P;;;;;;
D;171;1828312;27;20200706 01:01;P;;;;;;
D;171;1828312;27;20200706 01:01;V;;;;;;
D;171;1828312;27;20200706 01:01;V;;;;;;
B;171;1812692;28;20200706 01:01;;11;42;DRY DOCK RD;TWEED HEADS SOUTH;2486;;;20200531;20200629;305000;;R;RESIDENCE;11;;;0;AQ207641;
C;171;1812692;28;20200706 01:01;11/SP20482;
D;171;1812692;28;20200706 01:01;P;;;;;;
D;171;1812692;28;20200706 01:01;V;;;;;;
B;171;1820504;29;20200706 01:01;;;14;KURRAJONG AVE;BOGANGAR;2488;605;M;20200527;20200626;765000;R2;R;RESIDENCE;;AJF;;0;AQ204689;
C;171;1820504;29;20200706 01:01;394/248950;
D;171;1820504;29;20200706 01:01;P;;;;;;
D;171;1820504;29;20200706 01:01;P;;;;;;
D;171;1820504;29;20200706 01:01;V;;;;;;
B;171;1833938;30;20200706 01:01;;;7;PARKES LANE;TERRANORA;2486;1884;M;20200518;20200626;755000;R5;R;RESIDENCE;;RRD;;0;AQ204839;
C;171;1833938;30;20200706 01:01;1/781537;
D;171;1833938;30;20200706 01:01;P;;;;;;
D;171;1833938;30;20200706 01:01;P;;;;;;
D;171;1833938;30;20200706 01:01;V;;;;;;
D;171;1833938;30;20200706 01:01;V;;;;;;
B;171;3193424;31;20200706 01:01;;18;39;CORPORATION CCT;TWEED HEADS SOUTH;2486;;;20200526;20200629;325000;;3;COMMERCIAL;18;;;0;AQ207596;
C;171;3193424;31;20200706 01:01;18/SP75277;
D;171;3193424;31;20200706 01:01;P;;;;;;
D;171;3193424;31;20200706 01:01;V;;;;;;
B;171;2781590;32;20200706 01:01;;;72;MAHERS LANE;TERRANORA;2486;2;H;20191212;20200630;3100000;R1;R;RESIDENCE;;MMA;;0;AQ212985;
C;171;2781590;32;20200706 01:01;1/1018747;
D;171;2781590;32;20200706 01:01;P;;;;;;
D;171;2781590;32;20200706 01:01;V;;;;;;
B;171;1822368;33;20200706 01:01;;3;40;MACHINERY DR;TWEED HEADS SOUTH;2486;;;20200611;20200701;415000;;R;RESIDENCE;3;;;0;AQ217573;
C;171;1822368;33;20200706 01:01;3/SP66102;
D;171;1822368;33;20200706 01:01;P;;;;;;
D;171;1822368;33;20200706 01:01;V;;;;;;
B;171;2858741;34;20200706 01:01;;;45;KAMALA CRES;CASUARINA;2487;2372;M;20200423;20200702;3000000;R1;V;VACANT LAND;;ALE;;0;AQ219819;
C;171;2858741;34;20200706 01:01;172/1031933;
D;171;2858741;34;20200706 01:01;P;;;;;;
D;171;2858741;34;20200706 01:01;V;;;;;;
B;171;3265708;35;20200706 01:01;;181;6;STUART ST;TWEED HEADS;2485;;;20200529;20200629;390000;;R;RESIDENCE;181;;;0;AQ207719;
C;171;3265708;35;20200706 01:01;181/SP77177;
D;171;3265708;35;20200706 01:01;P;;;;;;
D;171;3265708;35;20200706 01:01;V;;;;;;
D;171;3265708;35;20200706 01:01;V;;;;;;
B;171;3886425;36;20200706 01:01;;;21;PROSPERO ST;SOUTH MURWILLUMBAH;2484;404.7;M;20200617;20200701;300000;B5;3;COMMERCIAL;;BDD;;0;AQ216202;
C;171;3886425;36;20200706 01:01;28/3/2974;
D;171;3886425;36;20200706 01:01;P;;;;;;
D;171;3886425;36;20200706 01:01;P;;;;;;
D;171;3886425;36;20200706 01:01;P;;;;;;
D;171;3886425;36;20200706 01:01;P;;;;;;
D;171;3886425;36;20200706 01:01;V;;;;;;
B;171;3944207;37;20200706 01:01;;;52;GLEN AYR DR;BANORA POINT;2486;441;M;20200505;20200629;541500;;R;RESIDENCE;1;;;0;AQ208426;
C;171;3944207;37;20200706 01:01;1/SP93711;
D;171;3944207;37;20200706 01:01;P;;;;;;
D;171;3944207;37;20200706 01:01;V;;;;;;
D;171;3944207;37;20200706 01:01;V;;;;;;
B;171;4254806;38;20200706 01:01;;;38;ENID ST;TWEED HEADS;2485;;;20200528;20200701;455000;;R;RESIDENCE;7;;;0;AQ218070;
C;171;4254806;38;20200706 01:01;7/SP100506;
D;171;4254806;38;20200706 01:01;P;;;;;;
D;171;4254806;38;20200706 01:01;P;;;;;;
D;171;4254806;38;20200706 01:01;V;;;;;;
B;171;4286655;39;20200706 01:01;;2;25;NAUTILUS WAY;KINGSCLIFF;2487;239;M;20200609;20200630;875000;;R;RESIDENCE;2;;;0;AQ214370;
C;171;4286655;39;20200706 01:01;2/SP101308;
D;171;4286655;39;20200706 01:01;P;;;;;;
D;171;4286655;39;20200706 01:01;P;;;;;;
D;171;4286655;39;20200706 01:01;V;;;;;;
B;171;4298043;40;20200706 01:01;;;23;WINCHELSEA WAY;TERRANORA;2486;5041;M;20200507;20200626;700000;R5;R;RESIDENCE;;RRD;;0;AQ202530;
C;171;4298043;40;20200706 01:01;12/1243926;
D;171;4298043;40;20200706 01:01;P;;;;;;
D;171;4298043;40;20200706 01:01;P;;;;;;
D;171;4298043;40;20200706 01:01;V;;;;;;
B;171;4292986;41;20200706 01:01;;;28;LORIKEET DR;TWEED HEADS SOUTH;2486;5216;M;20181221;20200630;450000;R1;V;VACANT LAND;;AJZ;;0;AQ215000;
C;171;4292986;41;20200706 01:01;90/1263918;
D;171;4292986;41;20200706 01:01;P;;;;;;
D;171;4292986;41;20200706 01:01;V;;;;;;
Z;209;41;41;125;
