A;RTSALEDATA;199;20200810 01:02;VALNET;
B;199;4106497;1;20200810 01:02;;;3713;THUNDERBOLTS WAY;URALLA;2358;14.83;H;20200625;20200806;755000;RU1;3;FARM;;UPH;;0;AQ299402;
C;199;4106497;1;20200810 01:02;1/782375;
D;199;4106497;1;20200810 01:02;P;;;;;;
D;199;4106497;1;20200810 01:02;P;;;;;;
D;199;4106497;1;20200810 01:02;V;;;;;;
D;199;4106497;1;20200810 01:02;V;;;;;;
B;199;1882095;2;20200810 01:02;;;17;COOPER ST;URALLA;2358;692.6;M;20200706;20200803;245000;R1;R;RESIDENCE;;ULA;;0;AQ291557;
C;199;1882095;2;20200810 01:02;92/791844;
D;199;1882095;2;20200810 01:02;P;;;;;;
D;199;1882095;2;20200810 01:02;V;;;;;;
D;199;1882095;2;20200810 01:02;V;;;;;;
B;199;1880972;3;20200810 01:02;;;70;KAREELA RD;INVERGOWRIE;2350;2.856;H;20200721;20200806;415000;R5;R;RESIDENCE;;URC;;0;AQ300207;
C;199;1880972;3;20200810 01:02;155/249074;
D;199;1880972;3;20200810 01:02;P;;;;;;
D;199;1880972;3;20200810 01:02;P;;;;;;
D;199;1880972;3;20200810 01:02;V;;;;;;
D;199;1880972;3;20200810 01:02;V;;;;;;
B;199;3764773;4;20200810 01:02;;;10;LIGHTHORSE PDE;INVERGOWRIE;2350;2.651;H;20200702;20200806;130000;R5;V;VACANT LAND;;URC;;0;AQ298471;
C;199;3764773;4;20200810 01:02;2/1191452;
D;199;3764773;4;20200810 01:02;P;;;;;;
D;199;3764773;4;20200810 01:02;P;;;;;;
D;199;3764773;4;20200810 01:02;V;;;;;;
Z;24;4;4;14;
