A;RTSALEDATA;010;20260112 01:05;VALNET;
B;010;3492230;1;20260112 01:05;;;27 A;LAWSON ST;NELSON BAY;2315;276.9;M;20251208;20260107;1205000;R2;R;RESIDENCE;;AAC;;;AV772443;
C;010;3492230;1;20260112 01:05;2/1145925;
D;010;3492230;1;20260112 01:05;P;;;;;;
D;010;3492230;1;20260112 01:05;P;;;;;;
D;010;3492230;1;20260112 01:05;V;;;;;;
B;010;6034512;2;20260112 01:05;;;9;CITRUS DR;KARUAH;2324;800.7;M;20251125;20260106;350000;;V;VACANT LAND;;;;;AV769743;
C;010;6034512;2;20260112 01:05;302/1318841;
D;010;6034512;2;20260112 01:05;P;;;;;;
D;010;6034512;2;20260112 01:05;V;;;;;;
D;010;6034512;2;20260112 01:05;V;;;;;;
D;010;6034512;2;20260112 01:05;V;;;;;;
B;010;4061744;3;20260112 01:05;;;7;SULLIVAN ST;RAYMOND TERRACE;2324;608.7;M;20251111;20260108;935000;R2;R;RESIDENCE;;ABG;;;AV773351;
C;010;4061744;3;20260112 01:05;203/1235327;
D;010;4061744;3;20260112 01:05;P;;;;;;
D;010;4061744;3;20260112 01:05;V;;;;;;
D;010;4061744;3;20260112 01:05;V;;;;;;
B;010;276050;4;20260112 01:05;;;18;BILMARK DR;RAYMOND TERRACE;2324;616.1;M;20251204;20260108;730000;R2;R;RESIDENCE;;ABF;;;AV773471;
C;010;276050;4;20260112 01:05;111/261236;
D;010;276050;4;20260112 01:05;P;;;;;;
D;010;276050;4;20260112 01:05;P;;;;;;
D;010;276050;4;20260112 01:05;V;;;;;;
B;010;266030;5;20260112 01:05;;;38;KULA RD;MEDOWIE;2318;8161;M;20251124;20260105;1200000;R5;R;RESIDENCE;;ABB;;;AV768999;
C;010;266030;5;20260112 01:05;70/253970;
D;010;266030;5;20260112 01:05;P;;;;;;
D;010;266030;5;20260112 01:05;V;;;;;;
D;010;266030;5;20260112 01:05;V;;;;;;
B;010;269859;6;20260112 01:05;;;26;MORTON AVE;LEMON TREE PASSAGE;2319;739.8;M;20251211;20260108;975000;R2;R;RESIDENCE;;AAP;;;AV773976;
C;010;269859;6;20260112 01:05;41/214619;
D;010;269859;6;20260112 01:05;P;;;;;;
D;010;269859;6;20260112 01:05;P;;;;;;
D;010;269859;6;20260112 01:05;V;;;;;;
B;010;283459;7;20260112 01:05;;;139;GEORGE RD;SALAMANDER BAY;2317;1200;M;20251205;20260105;1250000;E4;3;COMMERCIAL;;IPD;;;AV768941;
C;010;283459;7;20260112 01:05;10/818962;
D;010;283459;7;20260112 01:05;P;;;;;;
D;010;283459;7;20260112 01:05;V;;;;;;
D;010;283459;7;20260112 01:05;V;;;;;;
B;010;291486;8;20260112 01:05;;;427;ITALIA RD;EAST SEAHAM;2324;6.263;H;20251003;20260108;1480000;RU2;R;RESIDENCE;;RAF;;;AV773077;
C;010;291486;8;20260112 01:05;193/261146;
D;010;291486;8;20260112 01:05;P;;;;;;
D;010;291486;8;20260112 01:05;P;;;;;;
D;010;291486;8;20260112 01:05;V;;;;;;
D;010;291486;8;20260112 01:05;V;;;;;;
B;010;3978080;9;20260112 01:05;;;27;URALLA ST;FERN BAY;2295;538.2;M;20251120;20260105;1075000;R2;R;RESIDENCE;;AAU;;;AV768860;
C;010;3978080;9;20260112 01:05;30/280061;
D;010;3978080;9;20260112 01:05;P;;;;;;
D;010;3978080;9;20260112 01:05;P;;;;;;
D;010;3978080;9;20260112 01:05;V;;;;;;
D;010;3978080;9;20260112 01:05;V;;;;;;
Z;50;9;9;30;
