A;RTSALEDATA;157;20250825 01:06;VALNET;
B;157;6009398;1;20250825 01:06;;;28;MYEE CCT;SOUTH WEST ROCKS;2431;540;M;20241106;20250819;620000;R1;R;RESIDENCE;;ARC;;;AV344526;
C;157;6009398;1;20250825 01:06;2/1317509;
D;157;6009398;1;20250825 01:06;P;;;;;;
D;157;6009398;1;20250825 01:06;P;;;;;;
D;157;6009398;1;20250825 01:06;V;;;;;;
D;157;6009398;1;20250825 01:06;V;;;;;;
B;157;1735922;2;20250825 01:06;;;27;HODGSON ST;CRESCENT HEAD;2440;485.4;M;20250805;20250815;950000;R1;R;RESIDENCE;;ACH;;;AV335862;
C;157;1735922;2;20250825 01:06;52/618163;
D;157;1735922;2;20250825 01:06;P;;;;;;
D;157;1735922;2;20250825 01:06;V;;;;;;
B;157;1735931;3;20250825 01:06;;;28;HODGSON ST;CRESCENT HEAD;2440;484.4;M;20250708;20250819;900000;R1;R;RESIDENCE;;ACH;;;AV345304;
C;157;1735931;3;20250825 01:06;1/576915;
D;157;1735931;3;20250825 01:06;P;;;;;;
D;157;1735931;3;20250825 01:06;P;;;;;;
D;157;1735931;3;20250825 01:06;V;;;;;;
D;157;1735931;3;20250825 01:06;V;;;;;;
D;157;1735931;3;20250825 01:06;V;;;;;;
B;157;1738780;4;20250825 01:06;;;20;GREY GUM CRES;YARRAVEL;2440;1.921;H;20250704;20250815;700000;R5;R;RESIDENCE;;LKW;;;AV333695;
C;157;1738780;4;20250825 01:06;63/247905;
D;157;1738780;4;20250825 01:06;P;;;;;;
D;157;1738780;4;20250825 01:06;P;;;;;;
D;157;1738780;4;20250825 01:06;V;;;;;;
B;157;1738806;5;20250825 01:06;;;5;PARK RD;YARRAVEL;2440;4037;M;20250721;20250818;510000;R5;R;RESIDENCE;;LKW;;;AV339338;
C;157;1738806;5;20250825 01:06;9/249451;
D;157;1738806;5;20250825 01:06;P;;;;;;
D;157;1738806;5;20250825 01:06;P;;;;;;
D;157;1738806;5;20250825 01:06;V;;;;;;
B;157;1733744;6;20250825 01:06;;;1019;MUNGAY CREEK RD;MUNGAY CREEK;2440;80.94;H;20250612;20250819;125000;RU2;R;RESIDENCE;;RWH;;;AV344171;
C;157;1733744;6;20250825 01:06;25, 34, 51/752416;
D;157;1733744;6;20250825 01:06;P;;;;;;
D;157;1733744;6;20250825 01:06;P;;;;;;
D;157;1733744;6;20250825 01:06;P;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
D;157;1733744;6;20250825 01:06;V;;;;;;
B;157;1731276;7;20250825 01:06;;;8;MARRIOT ST;SOUTH WEST ROCKS;2431;486.9;M;20250612;20250818;1100000;R3;R;RESIDENCE;;MSW;;;AV338889;
C;157;1731276;7;20250825 01:06;161/545982;
D;157;1731276;7;20250825 01:06;P;;;;;;
D;157;1731276;7;20250825 01:06;P;;;;;;
D;157;1731276;7;20250825 01:06;V;;;;;;
B;157;1726273;8;20250825 01:06;;;6;ELRINGTON AVE;WEST KEMPSEY;2440;588.1;M;20250808;20250818;500000;R1;R;RESIDENCE;;AWK;;;AV340858;
C;157;1726273;8;20250825 01:06;5/23305;
D;157;1726273;8;20250825 01:06;P;;;;;;
D;157;1726273;8;20250825 01:06;V;;;;;;
B;157;1737573;9;20250825 01:06;;;64;MACLEAY ST;FREDERICKTON;2440;904.7;M;20250711;20250815;570000;RU5;R;RESIDENCE;;VFV;;;AV333494;
C;157;1737573;9;20250825 01:06;12/263099;
D;157;1737573;9;20250825 01:06;P;;;;;;
D;157;1737573;9;20250825 01:06;P;;;;;;
D;157;1737573;9;20250825 01:06;V;;;;;;
B;157;1737635;10;20250825 01:06;;;4;WILLIAM ST;FREDERICKTON;2440;752.5;M;20250716;20250821;370000;RU5;R;RESIDENCE;;VFV;;;AV350589;
C;157;1737635;10;20250825 01:06;6/21826;
D;157;1737635;10;20250825 01:06;P;;;;;;
D;157;1737635;10;20250825 01:06;V;;;;;;
D;157;1737635;10;20250825 01:06;V;;;;;;
B;157;1727139;11;20250825 01:06;;;10;LINDSAY PL;WEST KEMPSEY;2440;826.1;M;20250714;20250819;300000;R1;R;RESIDENCE;;AWK;;;AV342832;
C;157;1727139;11;20250825 01:06;24/263419;
D;157;1727139;11;20250825 01:06;P;;;;;;
D;157;1727139;11;20250825 01:06;V;;;;;;
B;157;1737958;12;20250825 01:06;;;54;MARINE PDE;STUARTS POINT;2441;660.1;M;20250718;20250819;595000;RU5;R;RESIDENCE;;VSP;;;AV343640;
C;157;1737958;12;20250825 01:06;7/243712;
D;157;1737958;12;20250825 01:06;P;;;;;;
D;157;1737958;12;20250825 01:06;P;;;;;;
D;157;1737958;12;20250825 01:06;V;;;;;;
B;157;4099690;13;20250825 01:06;;;1512;MACLEAY VALLEY WAY;CLYBUCCA;2440;19.85;H;20250715;20250819;860000;RU1;R;RESIDENCE;;RLH;;;AV343598;
C;157;4099690;13;20250825 01:06;3/793644 1/1200333;
D;157;4099690;13;20250825 01:06;P;;;;;;
D;157;4099690;13;20250825 01:06;P;;;;;;
D;157;4099690;13;20250825 01:06;V;;;;;;
B;157;3341499;14;20250825 01:06;;;43;FRANCIS CONN PL;FREDERICKTON;2440;1.116;H;20250613;20250815;375000;R5;V;VACANT LAND;;LKW;;;AV333597;
C;157;3341499;14;20250825 01:06;19/1117397;
D;157;3341499;14;20250825 01:06;P;;;;;;
D;157;3341499;14;20250825 01:06;P;;;;;;
D;157;3341499;14;20250825 01:06;V;;;;;;
B;157;3935781;15;20250825 01:06;;3;15;MEMORIAL AVE;SOUTH WEST ROCKS;2431;29;M;20250704;20250815;375000;;R;RESIDENCE;9;;;;AV333544;
C;157;3935781;15;20250825 01:06;9/SP99510;
D;157;3935781;15;20250825 01:06;P;;;;;;
D;157;3935781;15;20250825 01:06;P;;;;;;
D;157;3935781;15;20250825 01:06;V;;;;;;
Z;84;15;15;52;
