A;RTSALEDATA;050;20191111 01:02;VALNET;
B;050;2931272;1;20191111 01:02;;;58;NEWTON CCT;THURGOONA;2640;704.3;M;20190923;20191101;422500;R1;R;RESIDENCE;;ATN;;0;AP654443;
C;050;2931272;1;20191111 01:02;59/1042552;
D;050;2931272;1;20191111 01:02;P;;;;;;
D;050;2931272;1;20191111 01:02;P;;;;;;
D;050;2931272;1;20191111 01:02;V;;;;;;
D;050;2931272;1;20191111 01:02;V;;;;;;
B;050;3438987;2;20191111 01:02;;1;607;PAINE ST;ALBURY;2640;478;M;20191012;20191105;388000;R1;R;RESIDENCE;;AFH;;0;AP658871;
C;050;3438987;2;20191111 01:02;23/1135894;
D;050;3438987;2;20191111 01:02;P;;;;;;
D;050;3438987;2;20191111 01:02;P;;;;;;
D;050;3438987;2;20191111 01:02;V;;;;;;
D;050;3438987;2;20191111 01:02;V;;;;;;
B;050;4141789;3;20191111 01:02;;;154;FOREST DR;THURGOONA;2640;1219;M;20191004;20191107;170000;R1;V;VACANT LAND;;ATN;;0;AP664782;
C;050;4141789;3;20191111 01:02;923/1245055;
D;050;4141789;3;20191111 01:02;P;;;;;;
D;050;4141789;3;20191111 01:02;P;;;;;;
D;050;4141789;3;20191111 01:02;V;;;;;;
B;050;4164985;4;20191111 01:02;;;9;DIBBLER ST;THURGOONA;2640;703;M;20191016;20191101;140000;R1;V;VACANT LAND;;ATN;;0;AP651332;
C;050;4164985;4;20191111 01:02;140/1247709;
D;050;4164985;4;20191111 01:02;P;;;;;;
D;050;4164985;4;20191111 01:02;P;;;;;;
D;050;4164985;4;20191111 01:02;V;;;;;;
B;050;4236625;5;20191111 01:02;;;;KERRFORD DR;THURGOONA;2640;2.808;H;20190322;20191101;1056000;R1;V;VACANT LAND;;BAT;;0;AP654597;
C;050;4236625;5;20191111 01:02;100/1256497;
D;050;4236625;5;20191111 01:02;P;;;;;;
D;050;4236625;5;20191111 01:02;V;;;;;;
B;050;4210198;6;20191111 01:02;;;18;SWANSEA CT;THURGOONA;2640;582.1;M;20190926;20191107;150000;R1;V;VACANT LAND;;ATN;;0;AP666460;
C;050;4210198;6;20191111 01:02;115/1248446;
D;050;4210198;6;20191111 01:02;P;;;;;;
D;050;4210198;6;20191111 01:02;V;;;;;;
B;050;486004;7;20191111 01:02;;;34;BOGONG ST;THURGOONA;2640;812.3;M;20191018;20191101;241000;R1;R;RESIDENCE;;ATO;;0;AP651756;
C;050;486004;7;20191111 01:02;187/258262;
D;050;486004;7;20191111 01:02;P;;;;;;
D;050;486004;7;20191111 01:02;V;;;;;;
B;050;487128;8;20191111 01:02;;;1004;CARATEL ST;NORTH ALBURY;2640;720.8;M;20191014;20191105;184000;R1;R;RESIDENCE;;ANN;;0;AP660083;
C;050;487128;8;20191111 01:02;202/36535;
D;050;487128;8;20191111 01:02;P;;;;;;
D;050;487128;8;20191111 01:02;V;;;;;;
D;050;487128;8;20191111 01:02;V;;;;;;
B;050;487444;9;20191111 01:02;;;185;CENTRAL RESERVE RD;ETTAMOGAH;2640;59.44;H;20190608;20191104;787000;E3;R;RESIDENCE;;EMH;;0;AP655749;
C;050;487444;9;20191111 01:02;6/557651;
D;050;487444;9;20191111 01:02;P;;;;;;
D;050;487444;9;20191111 01:02;P;;;;;;
D;050;487444;9;20191111 01:02;V;;;;;;
B;050;485159;10;20191111 01:02;;;575;ATKINS ST;SOUTH ALBURY;2640;670.5;M;20190829;20191028;130000;IN1;R;RESIDENCE;;DSA;;0;AP660257;
C;050;485159;10;20191111 01:02;B/160775;
D;050;485159;10;20191111 01:02;P;;;;;;
D;050;485159;10;20191111 01:02;V;;;;;;
B;050;485176;11;20191111 01:02;;;2;AUGUSTA CT;THURGOONA;2640;875.1;M;20191017;20191105;305000;R1;R;RESIDENCE;;ATO;;0;AP658941;
C;050;485176;11;20191111 01:02;515/259633;
D;050;485176;11;20191111 01:02;P;;;;;;
D;050;485176;11;20191111 01:02;P;;;;;;
D;050;485176;11;20191111 01:02;V;;;;;;
D;050;485176;11;20191111 01:02;V;;;;;;
B;050;487880;12;20191111 01:02;;;35;CONRAD PL;LAVINGTON;2641;1.42;H;20191008;20191105;2200000;IN1;3;COMMERCIAL;;DTL;;0;AP660789;
C;050;487880;12;20191111 01:02;62/255813;
D;050;487880;12;20191111 01:02;P;;;;;;
D;050;487880;12;20191111 01:02;V;;;;;;
B;050;491658;13;20191111 01:02;;;440;HALL AVE;LAVINGTON;2641;954.8;M;20190919;20191106;455850;R1;R;RESIDENCE;;ALV;;0;AP663809;
C;050;491658;13;20191111 01:02;8/23289;
D;050;491658;13;20191111 01:02;P;;;;;;
D;050;491658;13;20191111 01:02;V;;;;;;
B;050;497071;14;20191111 01:02;;;229;OLIVE ST;SOUTH ALBURY;2640;569.1;M;20191028;20191105;265000;R3;R;RESIDENCE;;MDS;;0;AP659721;
C;050;497071;14;20191111 01:02;9/38454;
D;050;497071;14;20191111 01:02;P;;;;;;
D;050;497071;14;20191111 01:02;V;;;;;;
