A;RTSALEDATA;102;20191111 01:04;VALNET;
B;102;1110207;1;20191111 01:04;;5;17;CLARKE ST;BOWRAL;2576;;;20190925;20191106;850000;;R;RESIDENCE;9;;;0;AP663538;
C;102;1110207;1;20191111 01:04;9/SP68398;
D;102;1110207;1;20191111 01:04;P;;;;;;
D;102;1110207;1;20191111 01:04;P;;;;;;
D;102;1110207;1;20191111 01:04;V;;;;;;
D;102;1110207;1;20191111 01:04;V;;;;;;
B;102;2900791;2;20191111 01:04;;;7;ROBBIE BURNS PL;BUNDANOON;2578;1504;M;20190912;20191107;930000;R2;R;RESIDENCE;;QAA;;0;AP664206;
C;102;2900791;2;20191111 01:04;8/1038923;
D;102;2900791;2;20191111 01:04;P;;;;;;
D;102;2900791;2;20191111 01:04;V;;;;;;
D;102;2900791;2;20191111 01:04;V;;;;;;
B;102;4157340;3;20191111 01:04;;;32;GREEN ST;RENWICK;2575;616;M;20190927;20191104;836000;R2;R;RESIDENCE;;RLA;;0;AP657865;
C;102;4157340;3;20191111 01:04;1333/1234992;
D;102;4157340;3;20191111 01:04;P;;;;;;
D;102;4157340;3;20191111 01:04;P;;;;;;
D;102;4157340;3;20191111 01:04;V;;;;;;
B;102;4247452;4;20191111 01:04;;;2;STATION ST;MITTAGONG;2575;;;20180919;20191106;725000;;R;RESIDENCE;6;;;0;AP662269;
C;102;4247452;4;20191111 01:04;6/SP100313;
D;102;4247452;4;20191111 01:04;P;;;;;;
D;102;4247452;4;20191111 01:04;V;;;;;;
B;102;4247452;5;20191111 01:04;;;2;STATION ST;MITTAGONG;2575;;;20190620;20191106;725000;;R;RESIDENCE;10;;;0;AP662707;
C;102;4247452;5;20191111 01:04;10/SP100313;
D;102;4247452;5;20191111 01:04;P;;;;;;
D;102;4247452;5;20191111 01:04;V;;;;;;
B;102;4247452;6;20191111 01:04;;;2;STATION ST;MITTAGONG;2575;;;20181116;20191029;795000;;R;RESIDENCE;12;;;0;AP640213;
C;102;4247452;6;20191111 01:04;12/SP100313;
D;102;4247452;6;20191111 01:04;P;;;;;;
D;102;4247452;6;20191111 01:04;P;;;;;;
D;102;4247452;6;20191111 01:04;V;;;;;;
B;102;4247452;7;20191111 01:04;;;2;STATION ST;MITTAGONG;2575;;;20180627;20191106;750000;;R;RESIDENCE;18;;;0;AP661789;
C;102;4247452;7;20191111 01:04;18/SP100313;
D;102;4247452;7;20191111 01:04;P;;;;;;
D;102;4247452;7;20191111 01:04;V;;;;;;
B;102;4247452;8;20191111 01:04;;21;2;STATION ST;MITTAGONG;2575;;;20190520;20191106;575000;;R;RESIDENCE;21;;;0;AP663158;
C;102;4247452;8;20191111 01:04;21/SP100313;
D;102;4247452;8;20191111 01:04;P;;;;;;
D;102;4247452;8;20191111 01:04;V;;;;;;
B;102;4231681;9;20191111 01:04;;7;15;PAYTEN ST;MITTAGONG;2575;117;M;20191008;20191105;485000;;R;RESIDENCE;7;;;0;AP658881;
C;102;4231681;9;20191111 01:04;7/SP99977;
D;102;4231681;9;20191111 01:04;P;;;;;;
D;102;4231681;9;20191111 01:04;P;;;;;;
D;102;4231681;9;20191111 01:04;V;;;;;;
D;102;4231681;9;20191111 01:04;V;;;;;;
D;102;4231681;9;20191111 01:04;V;;;;;;
B;102;4244420;10;20191111 01:04;;;13;IDOLWOOD RDGE;BUNDANOON;2578;2480;M;20150601;20191104;242000;;V;VACANT LAND;;;;0;AP655912;
C;102;4244420;10;20191111 01:04;7/1219744;
D;102;4244420;10;20191111 01:04;P;;;;;;
