A;RTSALEDATA;082;20200831 01:00;VALNET;
B;082;4162067;1;20200831 01:00;;;26;LOW ST;MOUNT KURING-GAI;2080;513.9;M;20200728;20200826;875501;R2;R;RESIDENCE;;REP;;0;AQ346057;
C;082;4162067;1;20200831 01:00;1/1232344;
D;082;4162067;1;20200831 01:00;P;;;;;;
D;082;4162067;1;20200831 01:00;V;;;;;;
B;082;4154259;2;20200831 01:00;;;4;KITA RD;BEROWRA HEIGHTS;2082;;;20200714;20200825;850000;;R;RESIDENCE;9;;;0;AQ343515;
C;082;4154259;2;20200831 01:00;9/SP98243;
D;082;4154259;2;20200831 01:00;P;;;;;;
D;082;4154259;2;20200831 01:00;V;;;;;;
D;082;4154259;2;20200831 01:00;V;;;;;;
B;082;4135538;3;20200831 01:00;;7;442;PEATS FERRY RD;ASQUITH;2077;;;20200723;20200827;590000;;R;RESIDENCE;7;;;0;AQ347277;
C;082;4135538;3;20200831 01:00;7/SP97895;
D;082;4135538;3;20200831 01:00;P;;;;;;
D;082;4135538;3;20200831 01:00;V;;;;;;
B;082;4245600;4;20200831 01:00;;;26 C;OSBORN RD;NORMANHURST;2076;850.7;M;20200701;20200826;790000;R2;V;VACANT LAND;;REB;;0;AQ345405;
C;082;4245600;4;20200831 01:00;2/1234655;
D;082;4245600;4;20200831 01:00;P;;;;;;
D;082;4245600;4;20200831 01:00;V;;;;;;
D;082;4245600;4;20200831 01:00;V;;;;;;
B;082;4221635;5;20200831 01:00;;;50 C;BEECROFT RD;BEECROFT;2119;829.6;M;20200626;20200826;1500000;R2;R;RESIDENCE;;REN;;0;AQ346861;
C;082;4221635;5;20200831 01:00;2/1230733;
D;082;4221635;5;20200831 01:00;P;;;;;;
D;082;4221635;5;20200831 01:00;P;;;;;;
D;082;4221635;5;20200831 01:00;V;;;;;;
B;082;2984405;6;20200831 01:00;;15;298;PENNANT HILLS RD;PENNANT HILLS;2120;;;20200711;20200824;615000;;R;RESIDENCE;15;;;0;AQ338369;
C;082;2984405;6;20200831 01:00;15/SP69523;
D;082;2984405;6;20200831 01:00;P;;;;;;
D;082;2984405;6;20200831 01:00;V;;;;;;
B;082;4104739;7;20200831 01:00;;89;1;COWAN RD;MOUNT COLAH;2079;;;20200715;20200824;600000;;R;RESIDENCE;89;;;0;AQ339480;
C;082;4104739;7;20200831 01:00;89/SP97180;
D;082;4104739;7;20200831 01:00;P;;;;;;
D;082;4104739;7;20200831 01:00;P;;;;;;
D;082;4104739;7;20200831 01:00;V;;;;;;
B;082;4066412;8;20200831 01:00;;;16;HANNAH ST;BEECROFT;2119;;;20200624;20200824;1175000;;R;RESIDENCE;76;;;0;AQ339135;
C;082;4066412;8;20200831 01:00;76/SP95968;
D;082;4066412;8;20200831 01:00;P;;;;;;
D;082;4066412;8;20200831 01:00;P;;;;;;
