A;RTSALEDATA;082;20200525 01:00;VALNET;
B;082;2897367;1;20200525 01:00;;;14;GUMNUT RD;CHERRYBROOK;2126;701.6;M;20200310;20200515;1950000;R2;R;RESIDENCE;;REG;;0;AQ105651;
C;082;2897367;1;20200525 01:00;107/1039013;
D;082;2897367;1;20200525 01:00;P;;;;;;
D;082;2897367;1;20200525 01:00;P;;;;;;
D;082;2897367;1;20200525 01:00;V;;;;;;
D;082;2897367;1;20200525 01:00;V;;;;;;
B;082;3485393;2;20200525 01:00;;;11 E;ALAN RD;BEROWRA HEIGHTS;2082;500.3;M;20200417;20200521;917500;R2;R;RESIDENCE;;REO;;0;AQ119912;
C;082;3485393;2;20200525 01:00;5/1144545;
D;082;3485393;2;20200525 01:00;P;;;;;;
D;082;3485393;2;20200525 01:00;V;;;;;;
B;082;4135538;3;20200525 01:00;;306;442;PEATS FERRY RD;ASQUITH;2077;;;20200407;20200519;750000;;R;RESIDENCE;42;;;0;AQ113636;
C;082;4135538;3;20200525 01:00;42/SP97895;
D;082;4135538;3;20200525 01:00;P;;;;;;
D;082;4135538;3;20200525 01:00;P;;;;;;
D;082;4135538;3;20200525 01:00;V;;;;;;
B;082;4167812;4;20200525 01:00;;;113;BEROWRA WATERS RD;BEROWRA HEIGHTS;2082;1017;M;20200409;20200521;1080000;R2;R;RESIDENCE;;REO;;0;AQ120493;
C;082;4167812;4;20200525 01:00;11/1242140;
D;082;4167812;4;20200525 01:00;P;;;;;;
D;082;4167812;4;20200525 01:00;P;;;;;;
D;082;4167812;4;20200525 01:00;V;;;;;;
B;082;3103422;5;20200525 01:00;;406;2;ORARA ST;WAITARA;2077;;;20200416;20200518;657000;;R;RESIDENCE;128;;;0;AQ109501;
C;082;3103422;5;20200525 01:00;128/SP68972;
D;082;3103422;5;20200525 01:00;P;;;;;;
D;082;3103422;5;20200525 01:00;P;;;;;;
D;082;3103422;5;20200525 01:00;V;;;;;;
B;082;3103422;6;20200525 01:00;;169;15;WAITARA AVE;WAITARA;2077;;;20200416;20200518;657000;;R;RESIDENCE;169;;;0;AQ109501;
C;082;3103422;6;20200525 01:00;169/SP68972;
D;082;3103422;6;20200525 01:00;P;;;;;;
D;082;3103422;6;20200525 01:00;P;;;;;;
D;082;3103422;6;20200525 01:00;V;;;;;;
B;082;4029429;7;20200525 01:00;;21;7;CHAPMAN AVE;BEECROFT;2119;;;20200407;20200519;623000;;R;RESIDENCE;21;;;0;AQ112976;
C;082;4029429;7;20200525 01:00;21/SP90780;
D;082;4029429;7;20200525 01:00;P;;;;;;
D;082;4029429;7;20200525 01:00;P;;;;;;
D;082;4029429;7;20200525 01:00;V;;;;;;
