A;RTSALEDATA;272;20200525 01:03;VALNET;
B;272;2897724;1;20200525 01:03;;;54;LONDON BRIDGE RD;BURRA;2620;8.18;H;20200424;20200515;325000;E4;R;RESIDENCE;;LBU;;50;AQ105984;
C;272;2897724;1;20200525 01:03;2/1039349;
D;272;2897724;1;20200525 01:03;P;;;;;;
D;272;2897724;1;20200525 01:03;P;;;;;;
D;272;2897724;1;20200525 01:03;V;;;;;;
D;272;2897724;1;20200525 01:03;V;;;;;;
B;272;3463460;2;20200525 01:03;;;5;STORNAWAY RD;QUEANBEYAN;2620;1088;M;20200220;20200521;1150000;R4;R;RESIDENCE;;ARH;;0;AQ119632;
C;272;3463460;2;20200525 01:03;102/1140021;
D;272;3463460;2;20200525 01:03;P;;;;;;
D;272;3463460;2;20200525 01:03;P;;;;;;
D;272;3463460;2;20200525 01:03;V;;;;;;
D;272;3463460;2;20200525 01:03;V;;;;;;
B;272;4210585;3;20200525 01:03;;;115;ERSKINE LOOP;GOOGONG;2620;455;M;20200305;20200515;306000;R1;V;VACANT LAND;;DGA;;0;AQ105728;
C;272;4210585;3;20200525 01:03;215/1250266;
D;272;4210585;3;20200525 01:03;P;;;;;;
D;272;4210585;3;20200525 01:03;V;;;;;;
B;272;4210589;4;20200525 01:03;;;17;COURTNEY ST;GOOGONG;2620;605;M;20180606;20200515;356000;R1;V;VACANT LAND;;DGA;;0;AQ106883;
C;272;4210589;4;20200525 01:03;219/1250266;
D;272;4210589;4;20200525 01:03;P;;;;;;
D;272;4210589;4;20200525 01:03;V;;;;;;
B;272;4210590;5;20200525 01:03;;;19;COURTNEY ST;GOOGONG;2620;506;M;20180606;20200515;335000;R1;R;RESIDENCE;;DGA;;0;AQ106901;
C;272;4210590;5;20200525 01:03;220/1250266;
D;272;4210590;5;20200525 01:03;P;;;;;;
D;272;4210590;5;20200525 01:03;V;;;;;;
B;272;4210596;6;20200525 01:03;;;31;COURTNEY ST;GOOGONG;2620;570;M;20180604;20200521;356000;R1;V;VACANT LAND;;DGA;;0;AQ119380;
C;272;4210596;6;20200525 01:03;226/1250266;
D;272;4210596;6;20200525 01:03;P;;;;;;
D;272;4210596;6;20200525 01:03;V;;;;;;
B;272;4210605;7;20200525 01:03;;;1;MCPHERSON ST;GOOGONG;2620;545;M;20180608;20200519;335000;R1;V;VACANT LAND;;DGA;;0;AQ113133;
