A;RTSALEDATA;265;20200525 01:03;VALNET;
B;265;419922;1;20200525 01:03;;;11;PARKER ST;COOTAMUNDRA;2590;841;M;20200421;20200519;267500;R1;R;RESIDENCE;;RNW;;0;AQ111908;
C;265;419922;1;20200525 01:03;1/959432;
D;265;419922;1;20200525 01:03;P;;;;;;
D;265;419922;1;20200525 01:03;P;;;;;;
D;265;419922;1;20200525 01:03;V;;;;;;
B;265;418387;2;20200525 01:03;;;3;CAMPBELL ST;COOTAMUNDRA;2590;727.2;M;20200403;20200515;257000;R1;R;RESIDENCE;;RCY;;0;AQ107278;
C;265;418387;2;20200525 01:03;16/205754;
D;265;418387;2;20200525 01:03;P;;;;;;
D;265;418387;2;20200525 01:03;V;;;;;;
B;265;419014;3;20200525 01:03;;;44;HAY ST;COOTAMUNDRA;2590;996;M;20200501;20200520;162500;R1;R;RESIDENCE;;RNW;;0;AQ115177;
C;265;419014;3;20200525 01:03;1/611845;
D;265;419014;3;20200525 01:03;P;;;;;;
D;265;419014;3;20200525 01:03;V;;;;;;
Z;15;3;3;7;
