A;RTSALEDATA;187;20260302 01:02;VALNET;
B;187;3384260;1;20260302 01:02;;4;201;BLOOMFIELD ST;GUNNEDAH;2380;;;20260122;20260223;530000;;R;RESIDENCE;4;;;;AV890281;
C;187;3384260;1;20260302 01:02;4/SP80628;
D;187;3384260;1;20260302 01:02;P;;;;;;
D;187;3384260;1;20260302 01:02;V;;;;;;
B;187;1852093;2;20260302 01:02;;;131;VIEW ST;GUNNEDAH;2380;809.4;M;20260218;20260225;640000;R2;R;RESIDENCE;;AAA;;;AV898217;
C;187;1852093;2;20260302 01:02;14/28731;
D;187;1852093;2;20260302 01:02;P;;;;;;
D;187;1852093;2;20260302 01:02;P;;;;;;
D;187;1852093;2;20260302 01:02;V;;;;;;
B;187;3679700;3;20260302 01:02;;;48;KAMILAROI RD;GUNNEDAH;2380;450.1;M;20260113;20260224;469000;R2;R;RESIDENCE;;AAR;;;AV893457;
C;187;3679700;3;20260302 01:02;2/1181719;
D;187;3679700;3;20260302 01:02;P;;;;;;
D;187;3679700;3;20260302 01:02;P;;;;;;
D;187;3679700;3;20260302 01:02;V;;;;;;
D;187;3679700;3;20260302 01:02;V;;;;;;
Z;17;3;3;9;
