A;RTSALEDATA;223;20251215 01:09;VALNET;
B;223;2483050;1;20251215 01:09;;1;103;CASTLEREAGH ST;LIVERPOOL;2170;;;20251106;20251210;370000;;R;RESIDENCE;1;;;;AV696972;
C;223;2483050;1;20251215 01:09;1/SP60743;
D;223;2483050;1;20251215 01:09;P;;;;;;
D;223;2483050;1;20251215 01:09;V;;;;;;
B;223;2480745;2;20251215 01:09;;;12;BRUBRI ST;BUSBY;2168;670.3;M;20250923;20251205;1050000;R2;R;RESIDENCE;;LHH;;;AV685342;
C;223;2480745;2;20251215 01:09;1167/224957;
D;223;2480745;2;20251215 01:09;P;;;;;;
D;223;2480745;2;20251215 01:09;V;;;;;;
B;223;2483311;3;20251215 01:09;;;231;CEDAR RD;CASULA;2170;909.3;M;20251027;20251208;2100000;R2;R;RESIDENCE;;AAA;;;AV687829;
C;223;2483311;3;20251215 01:09;1/1012559;
D;223;2483311;3;20251215 01:09;P;;;;;;
D;223;2483311;3;20251215 01:09;P;;;;;;
D;223;2483311;3;20251215 01:09;V;;;;;;
D;223;2483311;3;20251215 01:09;V;;;;;;
B;223;2478164;4;20251215 01:09;;;18;BENEDICT CL;CECIL HILLS;2171;730.9;M;20250913;20251209;2315000;R2;R;RESIDENCE;;ASS;;;AV695767;
C;223;2478164;4;20251215 01:09;929/1005599;
D;223;2478164;4;20251215 01:09;P;;;;;;
D;223;2478164;4;20251215 01:09;V;;;;;;
D;223;2478164;4;20251215 01:09;V;;;;;;
B;223;2488039;5;20251215 01:09;;;3;DEVLIN ST;ASHCROFT;2168;727.2;M;20251204;20251205;950000;R2;R;RESIDENCE;;LHH;;;AV685732;
C;223;2488039;5;20251215 01:09;20/216018;
D;223;2488039;5;20251215 01:09;P;;;;;;
D;223;2488039;5;20251215 01:09;V;;;;;;
B;223;2478375;6;20251215 01:09;;;9;BERRARA CL;PRESTONS;2170;256.1;M;20251028;20251209;995000;R3;R;RESIDENCE;;EAC;;;AV693688;
C;223;2478375;6;20251215 01:09;603/873224;
D;223;2478375;6;20251215 01:09;P;;;;;;
D;223;2478375;6;20251215 01:09;V;;;;;;
B;223;2481692;7;20251215 01:09;;;20;CABRAMATTA AVE;MILLER;2168;568.45;M;20251028;20251209;989500;R4;R;RESIDENCE;;HAA;;;AV693100;
C;223;2481692;7;20251215 01:09;18/234917;
D;223;2481692;7;20251215 01:09;P;;;;;;
D;223;2481692;7;20251215 01:09;V;;;;;;
D;223;2481692;7;20251215 01:09;V;;;;;;
B;223;2481986;8;20251215 01:09;;8;41;CAMPBELL ST;LIVERPOOL;2170;;;20251026;20251208;485000;;R;RESIDENCE;8;;;;AV688472;
C;223;2481986;8;20251215 01:09;8/SP17762;
D;223;2481986;8;20251215 01:09;P;;;;;;
D;223;2481986;8;20251215 01:09;V;;;;;;
D;223;2481986;8;20251215 01:09;V;;;;;;
B;223;2476875;9;20251215 01:09;;;12;BANGALLA AVE;CHIPPING NORTON;2170;663.9;M;20251119;20251205;1200000;R3;R;RESIDENCE;;LTT;;;AV683041;
C;223;2476875;9;20251215 01:09;59/238118;
D;223;2476875;9;20251215 01:09;P;;;;;;
D;223;2476875;9;20251215 01:09;V;;;;;;
D;223;2476875;9;20251215 01:09;V;;;;;;
