A;RTSALEDATA;217;20190107 01:12;VALNET;
B;217;2988015;1;20190107 01:12;;1;6;SOMERSET AVE;NARELLAN;2567;;;20180531;20180630;650000;;3;COMMERCIAL;1;;;0;AN975207;
C;217;2988015;1;20190107 01:12;1/SP69724;
D;217;2988015;1;20190107 01:12;P;;;;;;
D;217;2988015;1;20190107 01:12;V;;;;;;
B;217;4161208;2;20190107 01:12;;;64;KETTLE ST;LEPPINGTON;2179;387.1;M;20180628;20190102;417900;R2;V;VACANT LAND;;EHE;;0;AN977066;
C;217;4161208;2;20190107 01:12;4036/1213167;
D;217;4161208;2;20190107 01:12;P;;;;;;
D;217;4161208;2;20190107 01:12;P;;;;;;
D;217;4161208;2;20190107 01:12;V;;;;;;
B;217;4162046;3;20190107 01:12;;;27;PAXTON ST;GLEDSWOOD HILLS;2557;243.9;M;20170920;20181218;735000;R1;R;RESIDENCE;;GCJ;;0;AN972106;
C;217;4162046;3;20190107 01:12;22/271107;
D;217;4162046;3;20190107 01:12;P;;;;;;
D;217;4162046;3;20190107 01:12;V;;;;;;
B;217;4162052;4;20190107 01:12;;;31;RAVENSWOOD ST;GLEDSWOOD HILLS;2557;252.2;M;20171009;20181231;685000;R1;R;RESIDENCE;;GCJ;;0;AN975520;
C;217;4162052;4;20190107 01:12;28/271107;
D;217;4162052;4;20190107 01:12;P;;;;;;
D;217;4162052;4;20190107 01:12;P;;;;;;
D;217;4162052;4;20190107 01:12;V;;;;;;
B;217;4162054;5;20190107 01:12;;;27;RAVENSWOOD ST;GLEDSWOOD HILLS;2557;225.2;M;20171114;20181217;657000;R1;R;RESIDENCE;;GCJ;;0;AN968277;
C;217;4162054;5;20190107 01:12;30/271107;
D;217;4162054;5;20190107 01:12;P;;;;;;
D;217;4162054;5;20190107 01:12;P;;;;;;
D;217;4162054;5;20190107 01:12;V;;;;;;
B;217;4169550;6;20190107 01:12;;;138;HAMPSHIRE BVD;SPRING FARM;2570;565.7;M;20151221;20181208;399000;R1;V;VACANT LAND;;EAA;;0;AN968582;
C;217;4169550;6;20190107 01:12;206/1217184;
D;217;4169550;6;20190107 01:12;P;;;;;;
D;217;4169550;6;20190107 01:12;P;;;;;;
D;217;4169550;6;20190107 01:12;V;;;;;;
D;217;4169550;6;20190107 01:12;V;;;;;;
B;217;4146341;7;20190107 01:12;;;18;THE NORTHERN ROAD;ORAN PARK;2570;300;M;20181120;20181220;366500;R1;V;VACANT LAND;;GCA;;0;AN975064;
C;217;4146341;7;20190107 01:12;9663/1225754;
D;217;4146341;7;20190107 01:12;P;;;;;;
D;217;4146341;7;20190107 01:12;P;;;;;;
D;217;4146341;7;20190107 01:12;V;;;;;;
B;217;4170915;8;20190107 01:12;;;60;KOKODA CCT;MOUNT ANNAN;2567;494.9;M;20181127;20181221;410000;R3;V;VACANT LAND;;AMA;;0;AN975750;
C;217;4170915;8;20190107 01:12;24/1212725;
D;217;4170915;8;20190107 01:12;P;;;;;;
D;217;4170915;8;20190107 01:12;P;;;;;;
D;217;4170915;8;20190107 01:12;V;;;;;;
D;217;4170915;8;20190107 01:12;V;;;;;;
B;217;4175186;9;20190107 01:12;;;24;PROVIDENCE DR;GLEDSWOOD HILLS;2557;508.4;M;20180920;20181228;484000;R1;V;VACANT LAND;;GCJ;;0;AN972523;
