A;RTSALEDATA;137;20200127 01:01;VALNET;
B;137;1389005;1;20200127 01:01;;3;33;BELMORE ST;BURWOOD;2134;;;20191118;20200122;600000;;R;RESIDENCE;50;;;0;AP848700;
C;137;1389005;1;20200127 01:01;50/SP65744;
D;137;1389005;1;20200127 01:01;P;;;;;;
D;137;1389005;1;20200127 01:01;V;;;;;;
D;137;1389005;1;20200127 01:01;V;;;;;;
B;137;4204621;2;20200127 01:01;;504;8;BURWOOD RD;BURWOOD;2134;61;M;20191121;20200122;550000;;R;RESIDENCE;29;;;0;AP848824;
C;137;4204621;2;20200127 01:01;29/SP99300;
D;137;4204621;2;20200127 01:01;P;;;;;;
D;137;4204621;2;20200127 01:01;V;;;;;;
B;137;4223748;3;20200127 01:01;;603;17;GROSVENOR ST;CROYDON;2132;108;M;20191213;20200123;895000;;R;RESIDENCE;61;;;0;AP853704;
C;137;4223748;3;20200127 01:01;61/SP99648;
D;137;4223748;3;20200127 01:01;P;;;;;;
D;137;4223748;3;20200127 01:01;V;;;;;;
B;137;4232993;4;20200127 01:01;;7;60;BELMORE ST;BURWOOD;2134;109;M;20191210;20200122;880000;;R;RESIDENCE;7;;;0;AP849891;
C;137;4232993;4;20200127 01:01;7/SP90251;
D;137;4232993;4;20200127 01:01;P;;;;;;
D;137;4232993;4;20200127 01:01;V;;;;;;
D;137;4232993;4;20200127 01:01;V;;;;;;
B;137;4241609;5;20200127 01:01;;501;2 A;ELSIE ST;BURWOOD;2134;;;20191203;20200117;757000;;R;RESIDENCE;15;;;0;AP837638;
C;137;4241609;5;20200127 01:01;15/SP100096;
D;137;4241609;5;20200127 01:01;P;;;;;;
D;137;4241609;5;20200127 01:01;V;;;;;;
B;137;4125375;6;20200127 01:01;;31;27;BURWOOD RD;BURWOOD;2134;;;20191127;20200121;855000;;R;RESIDENCE;31;;;0;AP846814;
C;137;4125375;6;20200127 01:01;31/SP97169;
D;137;4125375;6;20200127 01:01;P;;;;;;
D;137;4125375;6;20200127 01:01;P;;;;;;
D;137;4125375;6;20200127 01:01;V;;;;;;
B;137;1391359;7;20200127 01:01;;;73;CROYDON AVE;CROYDON PARK;2133;879;M;20191030;20200122;1730000;R2;R;RESIDENCE;;ESE;;0;AP851285;
C;137;1391359;7;20200127 01:01;90/687;
D;137;1391359;7;20200127 01:01;P;;;;;;
D;137;1391359;7;20200127 01:01;V;;;;;;
D;137;1391359;7;20200127 01:01;V;;;;;;
B;137;1399383;8;20200127 01:01;;;23;YANDARLO ST;CROYDON PARK;2133;461.6;M;20191022;20200122;1150000;R2;R;RESIDENCE;;ELL;;0;AP850339;
C;137;1399383;8;20200127 01:01;106/12912;
D;137;1399383;8;20200127 01:01;P;;;;;;
D;137;1399383;8;20200127 01:01;V;;;;;;
B;137;1397634;9;20200127 01:01;;20;2 A;TANGARRA ST E;CROYDON PARK;2133;;;20191019;20200117;780000;;R;RESIDENCE;20;;;0;AP839239;
C;137;1397634;9;20200127 01:01;20/SP50899;
D;137;1397634;9;20200127 01:01;P;;;;;;
D;137;1397634;9;20200127 01:01;V;;;;;;
D;137;1397634;9;20200127 01:01;V;;;;;;
B;137;1397793;10;20200127 01:01;;5;76;THE BOULEVARDE;STRATHFIELD;2135;;;20191207;20200120;990000;;R;RESIDENCE;5;;;0;AP842804;
C;137;1397793;10;20200127 01:01;5/SP32520;
D;137;1397793;10;20200127 01:01;P;;;;;;
D;137;1397793;10;20200127 01:01;V;;;;;;
D;137;1397793;10;20200127 01:01;V;;;;;;
B;137;1395475;11;20200127 01:01;;5;14;PARK AVE;BURWOOD;2134;;;20191202;20200117;740000;;R;RESIDENCE;5;;;0;AP838368;
C;137;1395475;11;20200127 01:01;5/SP3196;
D;137;1395475;11;20200127 01:01;P;;;;;;
D;137;1395475;11;20200127 01:01;P;;;;;;
D;137;1395475;11;20200127 01:01;V;;;;;;
B;137;1395475;12;20200127 01:01;;5;14;PARK AVE;BURWOOD;2134;;;20191202;20200117;740000;;R;RESIDENCE;36;;;0;AP838368;
C;137;1395475;12;20200127 01:01;36/SP3196;
D;137;1395475;12;20200127 01:01;P;;;;;;
D;137;1395475;12;20200127 01:01;P;;;;;;
D;137;1395475;12;20200127 01:01;V;;;;;;
B;137;1393223;13;20200127 01:01;;;60;KEMBLA ST;CROYDON PARK;2133;327.13;M;20191208;20200120;1000000;R2;R;RESIDENCE;;ESW;;0;AP842662;
C;137;1393223;13;20200127 01:01;1/537029;
D;137;1393223;13;20200127 01:01;P;;;;;;
D;137;1393223;13;20200127 01:01;P;;;;;;
D;137;1393223;13;20200127 01:01;V;;;;;;
D;137;1393223;13;20200127 01:01;V;;;;;;
B;137;1388230;14;20200127 01:01;;;33;ACTON ST;CROYDON;2132;442.6;M;20191207;20200122;1890000;R2;R;RESIDENCE;;EJJ;;0;AP850795;
C;137;1388230;14;20200127 01:01;27/15867;
D;137;1388230;14;20200127 01:01;P;;;;;;
D;137;1388230;14;20200127 01:01;P;;;;;;
D;137;1388230;14;20200127 01:01;V;;;;;;
D;137;1388230;14;20200127 01:01;V;;;;;;
B;137;1398435;15;20200127 01:01;;;10;WEIL AVE;CROYDON PARK;2133;390.08;M;20191214;20200122;1640000;R2;R;RESIDENCE;;ELL;;0;AP849333;
C;137;1398435;15;20200127 01:01;60/B/7728;
D;137;1398435;15;20200127 01:01;P;;;;;;
D;137;1398435;15;20200127 01:01;P;;;;;;
D;137;1398435;15;20200127 01:01;V;;;;;;
Z;75;15;15;43;
