A;RTSALEDATA;199;20190527 01:04;VALNET;
B;199;3584490;1;20190527 01:04;;;96;GLENROY RD;KENTUCKY SOUTH;2354;434.578;H;20190227;20190517;3436384;RU1;R;RESIDENCE;;UAX;;0;AP261503;
C;199;3584490;1;20190527 01:04;4, 7/12028 1, 7, 8, 9/127856 113, 123, 124, 129/755838;
D;199;3584490;1;20190527 01:04;P;;;;;;
D;199;3584490;1;20190527 01:04;P;;;;;;
D;199;3584490;1;20190527 01:04;V;;;;;;
B;199;1881929;2;20190527 01:04;;;8;DUMARESQ ST;URALLA;2358;1308;M;20190430;20190520;485000;R1;R;RESIDENCE;;ULB;;0;AP264775;
C;199;1881929;2;20190527 01:04;9/250713;
D;199;1881929;2;20190527 01:04;P;;;;;;
D;199;1881929;2;20190527 01:04;V;;;;;;
D;199;1881929;2;20190527 01:04;V;;;;;;
B;199;3877177;3;20190527 01:04;;;10;COURT ST;BUNDARRA;2359;1770.5;M;20190517;20190517;21000;RU5;3;VACCANT LAND;;UZB;;0;AP269457;
C;199;3877177;3;20190527 01:04;10/59/758181;
D;199;3877177;3;20190527 01:04;P;;;;;;
D;199;3877177;3;20190527 01:04;V;;;;;;
Z;16;3;3;8;
