A;RTSALEDATA;271;20190311 01:09;VALNET;
B;271;743693;1;20190311 01:09;;;35;KANGAROO ST;MANLY;2095;208.6;M;20180827;20190301;4200000;R1;R;RESIDENCE;;RAE;;0;AP96503;
C;271;743693;1;20190311 01:09;1/115714;
D;271;743693;1;20190311 01:09;P;;;;;;
D;271;743693;1;20190311 01:09;P;;;;;;
D;271;743693;1;20190311 01:09;V;;;;;;
D;271;743693;1;20190311 01:09;V;;;;;;
B;271;741570;2;20190311 01:09;;1;20;FAIRLIGHT ST;FAIRLIGHT;2094;;;20190208;20190228;1203500;;R;RESIDENCE;1;;;0;AP101034;
C;271;741570;2;20190311 01:09;1/SP4474;
D;271;741570;2;20190311 01:09;P;;;;;;
D;271;741570;2;20190311 01:09;P;;;;;;
D;271;741570;2;20190311 01:09;V;;;;;;
B;271;752074;3;20190311 01:09;;;24;WATERVIEW ST;SEAFORTH;2092;1050;M;20180829;20190301;3135000;R2;R;RESIDENCE;;RAB;;0;AP95844;
C;271;752074;3;20190311 01:09;4/396556;
D;271;752074;3;20190311 01:09;P;;;;;;
D;271;752074;3;20190311 01:09;P;;;;;;
D;271;752074;3;20190311 01:09;V;;;;;;
B;271;2927536;4;20190311 01:09;;;90 A;MCINTOSH RD;NARRAWEENA;2099;483;M;20190220;20190301;1028000;R2;R;RESIDENCE;;NAX;;0;AP96343;
C;271;2927536;4;20190311 01:09;1/1043689;
D;271;2927536;4;20190311 01:09;P;;;;;;
D;271;2927536;4;20190311 01:09;V;;;;;;
B;271;2943850;5;20190311 01:09;;5;46;LANE COVE RD;INGLESIDE;2101;2;H;20181127;20190225;8450000;RU2;R;RESIDENCE;;RNM;;0;AP87163;
C;271;2943850;5;20190311 01:09;5/1044346;
D;271;2943850;5;20190311 01:09;P;;;;;;
D;271;2943850;5;20190311 01:09;V;;;;;;
D;271;2943850;5;20190311 01:09;V;;;;;;
B;271;4156733;6;20190311 01:09;;;17;HOWARD AVE;DEE WHY;2099;;;20171124;20190221;1109000;;R;RESIDENCE;166;;;0;AP90272;
C;271;4156733;6;20190311 01:09;166/SP98729;
D;271;4156733;6;20190311 01:09;P;;;;;;
D;271;4156733;6;20190311 01:09;V;;;;;;
B;271;4156733;7;20190311 01:09;;;17;HOWARD AVE;DEE WHY;2099;;;20171124;20190214;797000;;R;RESIDENCE;214;;;0;AP90280;
C;271;4156733;7;20190311 01:09;214/SP98729;
D;271;4156733;7;20190311 01:09;P;;;;;;
D;271;4156733;7;20190311 01:09;V;;;;;;
B;271;4192026;8;20190311 01:09;;1;33;DARLEY ST E;MONA VALE;2103;;;20170313;20190306;2375000;;R;RESIDENCE;1;;;0;AP102891;
C;271;4192026;8;20190311 01:09;1/SP92272;
D;271;4192026;8;20190311 01:09;P;;;;;;
D;271;4192026;8;20190311 01:09;P;;;;;;
D;271;4192026;8;20190311 01:09;V;;;;;;
B;271;4192026;9;20190311 01:09;;2;33;DARLEY ST E;MONA VALE;2103;;;20171204;20190301;2400000;;R;RESIDENCE;2;;;0;AP96020;
C;271;4192026;9;20190311 01:09;2/SP92272;
D;271;4192026;9;20190311 01:09;P;;;;;;
D;271;4192026;9;20190311 01:09;V;;;;;;
B;271;4192026;10;20190311 01:09;;4;33;DARLEY ST E;MONA VALE;2103;;;20170927;20190305;2900000;;R;RESIDENCE;4;;;0;AP100102;
C;271;4192026;10;20190311 01:09;4/SP92272;
D;271;4192026;10;20190311 01:09;P;;;;;;
D;271;4192026;10;20190311 01:09;V;;;;;;
B;271;4192026;11;20190311 01:09;;5;33;DARLEY ST E;MONA VALE;2103;;;20170324;20190307;2650000;;R;RESIDENCE;5;;;0;AP105619;
C;271;4192026;11;20190311 01:09;5/SP92272;
D;271;4192026;11;20190311 01:09;P;;;;;;
D;271;4192026;11;20190311 01:09;P;;;;;;
D;271;4192026;11;20190311 01:09;V;;;;;;
B;271;4185838;12;20190311 01:09;;;70 A;MCCARRS CREEK RD;CHURCH POINT;2105;815.7;M;20190224;20190305;820000;E4;V;VACANT LAND;;MCW;;0;AP100262;
C;271;4185838;12;20190311 01:09;31/11691;
D;271;4185838;12;20190311 01:09;P;;;;;;
