A;RTSALEDATA;255;20201019 01:07;VALNET;
B;255;4032925;1;20201019 01:07;;;26;LIVINGSTONE DR;GOL GOL;2738;759;M;20200819;20201012;120000;RU5;V;VACANT LAND;;AV1;;0;AQ464974;
C;255;4032925;1;20201019 01:07;39/1229757;
D;255;4032925;1;20201019 01:07;P;;;;;;
D;255;4032925;1;20201019 01:07;P;;;;;;
D;255;4032925;1;20201019 01:07;V;;;;;;
B;255;2687485;2;20201019 01:07;;;95;OLEANDER DR;COOMEALLA;2717;1747;M;20200911;20201015;260000;RU1;R;RESIDENCE;;AH1;;0;AQ475378;
C;255;2687485;2;20201019 01:07;1122/43566;
D;255;2687485;2;20201019 01:07;P;;;;;;
D;255;2687485;2;20201019 01:07;P;;;;;;
D;255;2687485;2;20201019 01:07;V;;;;;;
B;255;2687605;3;20201019 01:07;;;130;CUDGEE RD;COOMEALLA;2717;7.098;H;20200812;20201015;301000;RU1;3;FARM;;AH1;;0;AQ475377;
C;255;2687605;3;20201019 01:07;257/756961 Farm Number 231;
D;255;2687605;3;20201019 01:07;P;;;;;;
D;255;2687605;3;20201019 01:07;V;;;;;;
D;255;2687605;3;20201019 01:07;V;;;;;;
B;255;4263738;4;20201019 01:07;;;1;THOMAS ST;GOL GOL;2738;806;M;20200714;20201013;107000;RU5;V;VACANT LAND;;AV1;;0;AQ468922;
C;255;4263738;4;20201019 01:07;41/1259103;
D;255;4263738;4;20201019 01:07;P;;;;;;
D;255;4263738;4;20201019 01:07;V;;;;;;
Z;21;4;4;11;
