A;RTSALEDATA;012;20201123 01:00;VALNET;
B;012;4119589;1;20201123 01:00;;2;10;PIONEER RD;HUNTERVIEW;2330;346;M;20201002;20201113;315000;;R;RESIDENCE;2;;;0;AQ554443;
C;012;4119589;1;20201123 01:00;2/SP97621;
D;012;4119589;1;20201123 01:00;P;;;;;;
D;012;4119589;1;20201123 01:00;P;;;;;;
D;012;4119589;1;20201123 01:00;V;;;;;;
B;012;3625194;2;20201123 01:00;;;9;PANKHURST AVE;SINGLETON HEIGHTS;2330;923.3;M;20201012;20201116;715000;R1;R;RESIDENCE;;AAA;;0;AQ557832;
C;012;3625194;2;20201123 01:00;1834/1172960;
D;012;3625194;2;20201123 01:00;P;;;;;;
D;012;3625194;2;20201123 01:00;P;;;;;;
D;012;3625194;2;20201123 01:00;V;;;;;;
D;012;3625194;2;20201123 01:00;V;;;;;;
B;012;3705399;3;20201123 01:00;;;10;LAMBKIN ST;HUNTERVIEW;2330;647.5;M;20201006;20201117;550000;R1;R;RESIDENCE;;AAV;;0;AQ562872;
C;012;3705399;3;20201123 01:00;357/1184988;
D;012;3705399;3;20201123 01:00;P;;;;;;
D;012;3705399;3;20201123 01:00;P;;;;;;
D;012;3705399;3;20201123 01:00;V;;;;;;
B;012;296273;4;20201123 01:00;;;6;AUTUMN CL;HUNTERVIEW;2330;1408;M;20201009;20201113;610000;R1;R;RESIDENCE;;AAV;;0;AQ554909;
C;012;296273;4;20201123 01:00;28/264242;
D;012;296273;4;20201123 01:00;P;;;;;;
D;012;296273;4;20201123 01:00;V;;;;;;
D;012;296273;4;20201123 01:00;V;;;;;;
B;012;303177;5;20201123 01:00;;;345;MILBRODALE RD;FORDWICH;2330;18.14;H;20201002;20201113;1700000;RU4;R;RESIDENCE;;RBK;;0;AQ553617;
C;012;303177;5;20201123 01:00;27/657986;
D;012;303177;5;20201123 01:00;P;;;;;;
D;012;303177;5;20201123 01:00;V;;;;;;
D;012;303177;5;20201123 01:00;V;;;;;;
B;012;303178;6;20201123 01:00;;;381;MILBRODALE RD;FORDWICH;2330;16.82;H;20201002;20201113;1700000;RU4;R;RESIDENCE;;RBK;;0;AQ553617;
C;012;303178;6;20201123 01:00;28/660332;
D;012;303178;6;20201123 01:00;P;;;;;;
D;012;303178;6;20201123 01:00;V;;;;;;
D;012;303178;6;20201123 01:00;V;;;;;;
B;012;298668;7;20201123 01:00;;;76;HIGH ST;SINGLETON;2330;973.8;M;20201015;20201113;405000;R1;R;RESIDENCE;;AAL;;0;AQ554912;
C;012;298668;7;20201123 01:00;C/152300;
D;012;298668;7;20201123 01:00;P;;;;;;
D;012;298668;7;20201123 01:00;P;;;;;;
D;012;298668;7;20201123 01:00;V;;;;;;
B;012;3885499;8;20201123 01:00;;;110;QUEEN ST;REDBOURNBERRY;2330;5256;M;20201002;20201113;1500000;RU1;R;RESIDENCE;;RRE;;0;AQ553482;
C;012;3885499;8;20201123 01:00;1/1181390;
D;012;3885499;8;20201123 01:00;P;;;;;;
D;012;3885499;8;20201123 01:00;V;;;;;;
B;012;3885500;9;20201123 01:00;;;106;QUEEN ST;REDBOURNBERRY;2330;15.96;H;20201002;20201113;1500000;RU1;R;RESIDENCE;;RRE;;0;AQ553482;
C;012;3885500;9;20201123 01:00;2/1181390;
D;012;3885500;9;20201123 01:00;P;;;;;;
D;012;3885500;9;20201123 01:00;V;;;;;;
Z;46;9;9;26;
